Layer,Baseline_PPL,Ablated_PPL,PPL_Degradation
0,1070.359234796749,1071.4492353460166,1.0900005492676428
1,1070.359234796749,1685.3676436394087,615.0084088426597
2,1070.359234796749,1190.5707423255349,120.21150752878589
3,1070.359234796749,1304.2442956366217,233.88506083987272
4,1070.359234796749,1728.0921162866985,657.7328814899495
5,1070.359234796749,839.4415821151113,-230.91765268163772
6,1070.359234796749,1267.370316993836,197.01108219708703
7,1070.359234796749,692.4476352837783,-377.9115995129707
8,1070.359234796749,995.640944916368,-74.71828988038101
9,1070.359234796749,1349.506079137701,279.14684434095193
10,1070.359234796749,1108.7875308361015,38.42829603935252
11,1070.359234796749,1081.99472063241,11.63548583566103
12,1070.359234796749,972.277580846043,-98.08165395070603
13,1070.359234796749,1004.1924850975955,-66.16674969915346
14,1070.359234796749,1025.4247408475776,-44.93449394917138
15,1070.359234796749,1017.6001722545543,-52.75906254219467
16,1070.359234796749,1009.5963648832721,-60.762869913476834
17,1070.359234796749,894.2897640897928,-176.06947070695617
18,1070.359234796749,1196.0805785401021,125.72134374335315
19,1070.359234796749,1007.4146378827562,-62.94459691399277
20,1070.359234796749,1118.6031133507972,48.24387855404825
21,1070.359234796749,1171.658739694367,101.29950489761791
22,1070.359234796749,1560.4274697790004,490.0682349822514
23,1070.359234796749,1282.737202118341,212.377967321592
24,1070.359234796749,1108.7450604440012,38.385825647252204
25,1070.359234796749,1098.7141180738597,28.35488327711073
26,1070.359234796749,1221.980866206849,151.6216314101
27,1070.359234796749,945.0703694434408,-125.28886535330821
28,1070.359234796749,1429.5745160986569,359.2152813019079
29,1070.359234796749,981.0152417493499,-89.34399304739907
30,1070.359234796749,1721.2425242943466,650.8832894975976
31,1070.359234796749,2155.8595457167344,1085.5003109199854
