Layer,Outlier_IoU
MoE_Layer_0,0.4135885997414589
MoE_Layer_1,0.548241413474083
MoE_Layer_2,0.6335639091730118
MoE_Layer_3,0.5368383956551552
MoE_Layer_4,0.4774737812280655
MoE_Layer_5,0.39546781980991363
MoE_Layer_6,0.507069258749485
MoE_Layer_7,0.5364606227874756
MoE_Layer_8,0.543923422396183
MoE_Layer_9,0.5379528535008431
MoE_Layer_10,0.5612915546298027
MoE_Layer_11,0.8261905621290206
MoE_Layer_12,0.7884762674570084
MoE_Layer_13,0.7762377866506577
MoE_Layer_14,0.8233530172109604
MoE_Layer_15,0.7945137809514999
MoE_Layer_16,0.8185830291509628
MoE_Layer_17,0.7147520710229873
MoE_Layer_18,0.7999936246871948
MoE_Layer_19,0.7943086302280427
MoE_Layer_20,0.7886366904973984
MoE_Layer_21,0.819557123541832
MoE_Layer_22,0.7600258108377457
MoE_Layer_23,0.748316577553749
MoE_Layer_24,0.79575151014328
MoE_Layer_25,0.757857885479927
MoE_Layer_26,0.7484791189432144
MoE_Layer_27,0.6630841827392578
MoE_Layer_28,0.5817049344778061
MoE_Layer_29,0.5813896269798279
MoE_Layer_30,0.5711392563581467
MoE_Layer_31,0.5035305277705192
