Layer,Variance_Shift
MoE_Layer_0,2.4885918085575103
MoE_Layer_1,2.9439287967681884
MoE_Layer_2,2.0372722911834718
MoE_Layer_3,1047.4931256103516
MoE_Layer_4,2.546416539669037
MoE_Layer_5,48.482561031341554
MoE_Layer_6,1.3257844734191895
MoE_Layer_7,1.4631556446552276
MoE_Layer_8,2.0173944454193116
MoE_Layer_9,2.4018115317821502
MoE_Layer_10,71.66047062206269
MoE_Layer_11,1.1476484310626984
MoE_Layer_12,1.2110538713932038
MoE_Layer_13,1.128261836528778
MoE_Layer_14,1.2187494745254517
MoE_Layer_15,1.0723145108222962
MoE_Layer_16,1.122311768770218
MoE_Layer_17,1.4232681808471679
MoE_Layer_18,1.0499704083204269
MoE_Layer_19,1.2386698091030122
MoE_Layer_20,1.1609486861228944
MoE_Layer_21,1.1637111692428588
MoE_Layer_22,1.0973761126995087
MoE_Layer_23,1.135656616449356
MoE_Layer_24,1.2222044596672057
MoE_Layer_25,1.1055685646533966
MoE_Layer_26,1.0643386373519896
MoE_Layer_27,1.1093787531852721
MoE_Layer_28,0.8092568601369858
MoE_Layer_29,1.260264063835144
MoE_Layer_30,1.0682555607557296
MoE_Layer_31,2.104981899738312
