Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
18,1.002515,0.9787032,0.97516435,0.9678585,0.96780586,0.97496605,0.9772597,0.9722234,0.9617845,0.98757464,1.0077832,1.018447,0.96619254,0.94225395,0.86361104,0.7273851,0.59354496,0.47224548,0.0,0.48714736,0.6624766,0.9412503,1.1658216,1.3163424,1.5509628,1.7710997,2.0896416,2.4590306,6.2344055
19,1.0032903,0.9848667,0.9813013,0.97480166,0.97408026,0.98168474,0.9817374,0.9770396,0.96609247,0.98525286,1.0023161,1.014451,0.9780019,0.9581417,0.89475775,0.7994411,0.69447595,0.6027569,0.44768044,0.0,0.41238523,0.7349392,0.9671725,1.1161174,1.3448447,1.5581546,1.8674871,2.2180116,5.7064276
20,1.0028507,0.9871958,0.98429966,0.97869575,0.9791711,0.98516107,0.98482233,0.9800924,0.9682602,0.98426944,0.9984858,1.0152061,0.98631734,0.97119826,0.9240678,0.8439755,0.7560699,0.6727309,0.5590494,0.3786823,0.0,0.491261,0.73775965,0.87777954,1.0857762,1.2900699,1.5822507,1.9272007,5.2298465
21,1.002508,0.98920155,0.9877093,0.9826981,0.9829439,0.9874266,0.9849985,0.98347324,0.97399426,0.9828248,0.99221337,1.0051681,0.98372,0.97948754,0.9469771,0.8871064,0.82532936,0.75445163,0.66605514,0.5659117,0.4119435,0.0,0.42011446,0.5706068,0.7228055,0.9092535,1.1592852,1.4656584,4.3444614
22,1.0022963,0.9904065,0.98900497,0.9849235,0.98449254,0.98788667,0.98618,0.9860993,0.9782905,0.9831936,0.9909202,1.0003808,0.9846263,0.984199,0.9583025,0.913767,0.8704613,0.81420255,0.7365282,0.6648956,0.5523222,0.37507653,0.0,0.35595998,0.5109352,0.6976975,0.9393009,1.2217393,3.8197052
23,1.0022694,0.99223864,0.9909254,0.98702306,0.9861645,0.9892434,0.98804224,0.98802125,0.9800909,0.9836704,0.990067,0.9984194,0.9839585,0.9843441,0.9671115,0.9278823,0.8898065,0.84370685,0.77549726,0.7155064,0.6127978,0.4750544,0.33193672,0.0,0.31138116,0.5261332,0.7704845,1.0603836,3.5305617
24,1.0019548,0.9929647,0.9921726,0.9888809,0.9884378,0.9913493,0.9901266,0.98943853,0.983513,0.9855835,0.9892338,0.99658406,0.9857243,0.98583436,0.97279656,0.9386599,0.9063733,0.8654851,0.80443937,0.75902534,0.6673483,0.5297956,0.41946954,0.27414027,0.0,0.33025193,0.569395,0.848503,3.0986261
25,1.0016966,0.99412405,0.9934873,0.9905076,0.9900858,0.99272543,0.99147445,0.99107844,0.9860641,0.9872184,0.99133664,0.99548566,0.9866429,0.988973,0.98054755,0.94977385,0.92186636,0.8869676,0.83734417,0.8016112,0.7227608,0.60749257,0.5221207,0.4222263,0.30103326,0.0,0.40490726,0.69738376,2.801698
26,1.0011092,0.99516964,0.99503106,0.9926987,0.9926376,0.9948536,0.9935208,0.9925501,0.9880762,0.9878833,0.990469,0.99292,0.98761344,0.9908944,0.9847113,0.9613726,0.938661,0.9097819,0.86806124,0.84416705,0.7788865,0.68055594,0.6176266,0.5432892,0.4560372,0.3557731,0.0,0.43384558,2.458939
27,1.0005304,0.9962799,0.9963915,0.99526155,0.99613374,0.99789995,0.99682724,0.9964752,0.99317133,0.9920933,0.99307495,0.99559057,0.9898475,0.99461913,0.9913438,0.97096,0.9516308,0.92838407,0.89531326,0.8787536,0.8314925,0.75411713,0.70409673,0.65533394,0.5956245,0.5370589,0.38024867,0.0,2.075877
