Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
17,0.047482308,0.04535241,0.04501511,0.044487108,0.044371724,0.044970047,0.04509279,0.044504967,0.04346909,0.045561966,0.04723549,0.048415095,0.042977333,0.03918867,0.031013967,0.018886626,0.00887008,0.0,0.011457435,0.022136047,0.032636903,0.058255304,0.085243486,0.105127074,0.1426135,0.18030955,0.24547236,0.33306754,2.0199356
18,0.051593196,0.049174797,0.04882295,0.048098456,0.048079923,0.04880173,0.049023822,0.048528206,0.047499403,0.050119355,0.052125853,0.053266805,0.04791364,0.045544107,0.038257837,0.02716767,0.018092433,0.011457435,0.0,0.012221311,0.022556975,0.045437027,0.06981064,0.088867374,0.12325421,0.1607685,0.22354938,0.30983865,1.9975023
19,0.06127611,0.059048373,0.058623314,0.05785176,0.057753146,0.058670063,0.0586647,0.058114182,0.056819707,0.059131693,0.06111147,0.062622294,0.058184583,0.05583058,0.048689175,0.038907733,0.029373616,0.022136047,0.012221311,0.0,0.010325338,0.032749712,0.056886245,0.07564099,0.109711766,0.14732726,0.2114042,0.29847187,1.9814095
20,0.07251884,0.07027752,0.069866955,0.069078624,0.06913598,0.06998428,0.0699343,0.06927001,0.06760112,0.06989078,0.07185345,0.07429459,0.07010182,0.06794374,0.061500967,0.05134433,0.041208733,0.032636903,0.022556975,0.010325338,0.0,0.017413931,0.03938988,0.05563924,0.08500693,0.119996876,0.18023528,0.26748893,1.9734877
21,0.10289932,0.100190125,0.09988942,0.098883666,0.09891536,0.09982383,0.09934441,0.09904596,0.097134344,0.09893469,0.100763746,0.103428215,0.099039674,0.098158605,0.091732316,0.080541156,0.06971514,0.058255304,0.045437027,0.032749712,0.017413931,0.0,0.018248178,0.033558402,0.053746045,0.08498243,0.13782667,0.22024651,1.9362935
22,0.12912077,0.12607862,0.12572327,0.124694616,0.12456492,0.12542948,0.124993645,0.12500292,0.12302271,0.12428352,0.12617593,0.12860419,0.12457744,0.124429405,0.11796946,0.10732275,0.09741006,0.085243486,0.06981064,0.056886245,0.03938988,0.018248178,0.0,0.016364448,0.033675503,0.06277222,0.1134825,0.19197582,1.8776213
23,0.14826588,0.14531855,0.14493549,0.14380378,0.14353174,0.14443319,0.14409338,0.14411323,0.14180495,0.1428699,0.14467077,0.1471227,0.14287776,0.14295922,0.1379933,0.12710506,0.1169102,0.105127074,0.088867374,0.07564099,0.05563924,0.033558402,0.016364448,0.0,0.014433712,0.041123822,0.087911464,0.16638036,1.8442472
24,0.19107324,0.1876622,0.18736474,0.18613271,0.18593895,0.18704443,0.18660372,0.18635935,0.18413554,0.18494304,0.18624425,0.1890279,0.18491416,0.1849188,0.18005526,0.16772194,0.1564035,0.1426135,0.12325421,0.109711766,0.08500693,0.053746045,0.033675503,0.014433712,0.0,0.020924697,0.061982933,0.1374728,1.8322138
25,0.2298863,0.22643034,0.22614503,0.22480011,0.22457932,0.22579384,0.22527437,0.22509609,0.22282255,0.22336812,0.22516531,0.22705992,0.22302806,0.22405261,0.22024341,0.20672303,0.19478472,0.18030955,0.1607685,0.14732726,0.119996876,0.08498243,0.06277222,0.041123822,0.020924697,0.0,0.03771086,0.11175867,1.8026094
26,0.29716897,0.29366136,0.2935842,0.29221416,0.2921409,0.29345307,0.29273018,0.2921501,0.28953546,0.28947112,0.2909053,0.2923237,0.28919885,0.29108915,0.28746888,0.27408096,0.2613236,0.24547236,0.22354938,0.2114042,0.18023528,0.13782667,0.1134825,0.087911464,0.061982933,0.03771086,0.0,0.05602778,1.7981039
27,0.3868164,0.38353884,0.3836292,0.3827672,0.38338998,0.3847456,0.3840047,0.38373092,0.38119757,0.38042524,0.38109764,0.38299263,0.37859416,0.38224006,0.37971544,0.36431733,0.34998393,0.33306754,0.30983865,0.29847187,0.26748893,0.22024651,0.19197582,0.16638036,0.1374728,0.11175867,0.05602778,0.0,1.66784
