Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
15,1.0000011,0.96503115,0.9714586,0.9588981,0.94454706,0.9107409,0.875465,0.8452539,0.8087051,0.7319079,0.6592924,0.49777377,0.2844187,0.17732733,0.10012311,0.0,0.11636527,0.23632437,0.35307115,0.37683344,0.3847477,0.39384136,0.45295122,0.377714,0.34387183,0.37494436,0.48519477,0.5777927,0.67101073,0.9030048,1.0222497,1.1176347,1.2227517,1.5351468,1.0000094
16,0.9999981,0.9685329,0.9743269,0.9630301,0.95010597,0.91970414,0.88795763,0.8607516,0.827848,0.75869864,0.69331574,0.54789513,0.35551777,0.25896215,0.18885022,0.10482596,0.0,0.1152504,0.2207591,0.24313039,0.25188017,0.26289657,0.31569815,0.25214076,0.23034218,0.25906456,0.35306132,0.43631622,0.51938254,0.7235424,0.8308504,0.91730636,1.0125409,1.2912563,0.9999932
17,0.9999998,0.9716236,0.97685385,0.9666698,0.95501137,0.9276084,0.89896435,0.87443036,0.8447609,0.7823833,0.72341704,0.5922363,0.41873348,0.33140472,0.26803088,0.1921283,0.10401112,0.0,0.10378207,0.1259695,0.13813658,0.15291859,0.19831562,0.15201776,0.15149207,0.17558788,0.24601574,0.31858644,0.39046448,0.5672366,0.66338617,0.7422961,0.82906806,1.0769814,0.99998844
18,0.999996,0.974094,0.9788754,0.9695828,0.9589325,0.9339312,0.90775883,0.8853547,0.8582582,0.80129194,0.74744856,0.6276681,0.46905732,0.38941866,0.33155054,0.26234466,0.18208876,0.09485267,0.0,0.0453458,0.06608721,0.08800084,0.116747156,0.10473104,0.13138725,0.1445277,0.17902979,0.23650356,0.29602617,0.44579697,0.5321936,0.60507184,0.68487763,0.9074404,0.99997455
19,0.99999267,0.9745281,0.97923416,0.9701045,0.95962894,0.9350604,0.9093163,0.88727653,0.86062914,0.80460644,0.751661,0.6338934,0.47818762,0.39998606,0.34328333,0.27566865,0.19743843,0.11334974,0.044644196,0.0,0.049172755,0.07582602,0.10238054,0.09946722,0.13097556,0.1416614,0.16865666,0.22258517,0.2799633,0.42516077,0.50997835,0.58179593,0.660383,0.8792585,0.9999555
20,0.9999901,0.9746555,0.9793427,0.97025806,0.9598298,0.93536305,0.9097253,0.8877795,0.86125433,0.8054779,0.75279266,0.6356268,0.48093566,0.40337417,0.34734654,0.28063554,0.20394595,0.123934574,0.0648745,0.049029022,0.0,0.061033346,0.092926964,0.094441436,0.12721112,0.13801326,0.16422708,0.21899566,0.2762918,0.42108583,0.50554985,0.5771544,0.6556455,0.8741025,0.99993175
21,0.999989,0.97477305,0.97943693,0.9703956,0.96001214,0.9356675,0.91016406,0.8883173,0.8619305,0.8064292,0.754036,0.63756967,0.4841533,0.40736106,0.35209936,0.286477,0.21227942,0.13681886,0.08614801,0.07539608,0.060865197,0.0,0.07711015,0.08444577,0.1205579,0.13179362,0.15669504,0.21166508,0.27001405,0.4154137,0.49950927,0.57179856,0.65065235,0.8690102,0.999884
22,0.9999881,0.97580034,0.9802707,0.9716005,0.9616413,0.9383125,0.9138654,0.89292616,0.8676322,0.81445223,0.76421547,0.6526257,0.5055483,0.43202606,0.3789773,0.3161085,0.24457458,0.17023893,0.10965313,0.09767068,0.088911906,0.0739823,0.0,0.08486666,0.12896205,0.13335325,0.13475665,0.17747214,0.229719,0.36148018,0.44169667,0.5112566,0.5872861,0.7959709,0.99985886
23,0.99998426,0.97436094,0.97909695,0.9699102,0.9593631,0.934641,0.9087557,0.8865878,0.85979813,0.8035253,0.7503684,0.6323103,0.47717094,0.3998116,0.34443226,0.2793242,0.206987,0.13827923,0.104234345,0.100551255,0.095750585,0.085852884,0.0899286,0.0,0.08286588,0.102793396,0.14398605,0.20782399,0.27180564,0.42728785,0.5145051,0.58775055,0.66840225,0.8937075,0.9998096
24,0.99998116,0.97349757,0.9783901,0.9688975,0.95799315,0.93245953,0.90569365,0.8828087,0.85514194,0.79708874,0.74227226,0.620744,0.4618053,0.3832956,0.32758564,0.2636724,0.1960632,0.14288124,0.13558489,0.13728416,0.13372931,0.1270853,0.14169198,0.08592082,0.0,0.07167076,0.1488205,0.2199373,0.29370493,0.46587974,0.55794686,0.63478595,0.7191916,0.9566468,0.9996999
25,0.9999827,0.97408074,0.9788676,0.9695854,0.95891297,0.93392897,0.9077356,0.8853576,0.858296,0.8015308,0.7479361,0.62923956,0.47427943,0.39793545,0.3437487,0.28189278,0.21621192,0.16237862,0.14623731,0.14558972,0.14225625,0.13622068,0.14366004,0.10450496,0.070273414,0.0,0.118593305,0.18899189,0.2630665,0.43300074,0.5243803,0.6002291,0.6832662,0.9176588,0.99965054
26,0.999985,0.9761268,0.98053485,0.971984,0.9621519,0.9391207,0.9150004,0.89440507,0.8695061,0.81725055,0.7679421,0.6586582,0.51574135,0.44507238,0.3947186,0.33641657,0.27174774,0.20981732,0.16706157,0.15985522,0.15611312,0.14936472,0.13388339,0.13500075,0.13457237,0.109371535,0.0,0.103476085,0.17311674,0.32474738,0.40986714,0.4817162,0.5591612,0.7727266,0.99961144
27,0.999987,0.9775632,0.98170596,0.97367114,0.96443594,0.9428039,0.9201427,0.900813,0.87743825,0.82840484,0.7821357,0.67967325,0.54598,0.47977155,0.43276906,0.37807384,0.31692788,0.25641832,0.20827265,0.19909616,0.1964597,0.19040807,0.16639873,0.1838886,0.18768752,0.16448663,0.09765249,0.0,0.11114969,0.24914773,0.33019745,0.39919093,0.47419187,0.6765024,0.9995465
28,0.99998355,0.97887784,0.98277485,0.9752079,0.96652174,0.9461561,0.92482424,0.9066221,0.88464,0.8385083,0.7949762,0.6986241,0.57280713,0.51060146,0.46633607,0.414447,0.35610774,0.29664585,0.24607055,0.23637564,0.23395962,0.22927539,0.2033067,0.22701396,0.23658255,0.21611652,0.15421171,0.10491636,0.0,0.17206818,0.25114897,0.31921515,0.39203608,0.5818727,0.99950165
29,0.9999868,0.98159504,0.9849876,0.9783925,0.97082967,0.95307904,0.93450063,0.9186416,0.89948255,0.85925436,0.82126033,0.737052,0.6265952,0.5714979,0.5320489,0.48537263,0.4317215,0.37503055,0.32248706,0.31239238,0.31030533,0.30697113,0.27841008,0.31057057,0.326581,0.30956846,0.25175008,0.20466216,0.14974289,0.0,0.10006816,0.16411461,0.23019496,0.38612363,0.9995376
30,0.9999846,0.98273146,0.98591703,0.9797298,0.97262985,0.9559737,0.9385382,0.9236606,0.90568703,0.86793375,0.83229744,0.7532854,0.64961386,0.5978299,0.56080824,0.516792,0.46626857,0.41251752,0.36209154,0.35242978,0.3503936,0.34716335,0.31996185,0.3517248,0.36786082,0.35260466,0.2988413,0.25511026,0.20556569,0.09411731,0.0,0.09889425,0.16625373,0.30798572,0.9995218
31,0.9999869,0.98352027,0.98655885,0.9806578,0.97389275,0.95802665,0.94142395,0.92724764,0.91013515,0.8741822,0.8402382,0.7650416,0.666462,0.6172441,0.5820812,0.5402329,0.49220958,0.44134226,0.39362082,0.384427,0.3824781,0.37997562,0.35410765,0.38417467,0.40016615,0.3859056,0.33582354,0.29488808,0.24981879,0.14758533,0.09455694,0.0,0.106380336,0.2448073,0.999482
32,0.9999838,0.98433906,0.98722625,0.981624,0.9751992,0.9601414,0.94438934,0.9309252,0.9146772,0.8805511,0.84834963,0.77703446,0.683684,0.6370594,0.6037865,0.5643178,0.5187434,0.47064435,0.42539114,0.41662318,0.414847,0.412825,0.38837427,0.41713622,0.4328745,0.41942886,0.37218705,0.33445293,0.29293546,0.19764966,0.15177424,0.101570055,0.0,0.17744309,0.9994196
33,0.9999885,0.98634624,0.98886806,0.98398083,0.9783711,0.96522325,0.9514649,0.9396904,0.92549515,0.8956392,0.86743724,0.80488765,0.7226929,0.681507,0.6518763,0.616731,0.5758546,0.5321956,0.49062988,0.48286366,0.48143938,0.47995695,0.45820343,0.48550737,0.5012212,0.49035433,0.44772413,0.41534662,0.3784725,0.28859386,0.24474716,0.20346472,0.15446123,0.0,0.99947274
