Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
17,333562.44,314900.3,318299.7,311697.44,304224.56,287016.28,269564.1,255051.28,238037.12,204181.47,174563.97,116994.96,58486.074,36634.855,23963.309,12312.882,3608.582,0.0,3592.707,5293.074,6364.9414,7800.056,13118.706,7708.427,7655.208,10284.099,20188.45,33855.688,50855.77,107326.15,146794.55,183794.08,229275.38,386895.38,333554.7
18,399318.25,378899.8,382628.62,375398.4,367196.7,348299.12,329051.28,313009.34,294142.94,256391.8,223092.55,157319.61,87856.66,60555.855,43895.73,27483.193,13240.028,3592.707,0.0,821.10156,1744.0446,3092.4043,5442.711,4379.9937,6893.331,8341.131,12798.919,22335.621,34993.14,79359.12,113099.836,146196.39,187304.66,328820.6,399301.22
19,411965.3,391251.25,395038.97,387707.16,379379.12,360202.1,340640.88,324328.3,305139.8,266706.5,232761.33,165538.62,94202.74,65910.8,48548.105,31307.0,16059.439,5293.074,821.10156,0.0,996.1299,2368.6633,4318.1895,4075.931,7067.2017,8267.419,11718.549,20410.77,32290.082,74468.625,107144.625,139446.7,179663.03,318493.1,411934.4
20,414382.03,393651.62,397446.72,390107.28,381766.66,362551.72,342949.38,326602.72,307377.66,268854.22,234833.58,167422.55,95848.08,67425.72,49996.01,32635.848,17236.13,6364.9414,1744.0446,996.1299,0.0,1543.6324,3578.4343,3696.0234,6705.9404,7893.164,11176.326,19873.781,31633.37,73476.88,105910.14,138036.38,178134.34,316616.97,414333.78
21,416673.94,395924.88,399722.72,392377.03,384024.66,364795.03,345179.7,328807.78,309563.84,270980.62,236913.58,169379.62,97672.34,69145.64,51657.836,34196.79,18776.8,7800.056,3092.4043,2368.6633,1543.6324,0.0,2477.587,2971.4028,6056.1577,7237.5977,10230.956,18668.277,30379.355,71906.39,103966.39,136235.95,176402.12,314670.06,416586.28
22,452650.44,431017.66,434975.94,427315.56,418600.06,398536.6,378039.94,360914.56,340756.78,300264.8,264365.6,192797.6,115690.73,84487.63,65012.938,45231.992,27076.707,13118.706,5442.711,4318.1895,3578.4343,2477.587,0.0,3260.224,7528.302,8049.714,8220.033,14257.178,23887.297,59148.28,88312.39,118318.06,156125.12,286792.44,452533.4
23,403123.53,382729.3,386458.75,379240.7,371037.7,352161.06,332924.78,316880.3,298019.5,260285.95,226987.03,161180.34,91790.945,64441.04,47825.49,31453.49,17271.809,7708.427,4379.9937,4075.931,3696.0234,2971.4028,3260.224,0.0,2768.2375,4259.7314,8357.8125,17411.781,29783.02,73602.55,106716.375,139263.69,180105.78,321990.06,402982.78
24,374964.56,355366.38,358947.28,352015.72,344136.94,326036.8,307587.9,292240.03,274209.84,238242.83,206601.34,144487.95,79969.516,55090.195,40239.844,26069.7,14414.472,7655.208,6893.331,7067.2017,6705.9404,6056.1577,7528.302,2768.2375,0.0,1926.1521,8304.856,18138.625,32346.62,81386.81,116732.65,151098.77,193952.67,343170.38,374753.53
25,390025.9,370082.5,373728.7,366674.34,358646.72,340201.44,321386.2,305735.56,287330.94,250581.53,218191.4,154433.2,87735.83,61763.758,46088.28,30993.906,18233.406,10284.099,8341.131,8267.419,7893.164,7237.5977,8049.714,4259.7314,1926.1521,0.0,5485.659,13931.406,26992.285,73128.37,107251.0,140521.38,182091.08,328451.34,389766.84
26,458571.5,436950.9,440906.0,433249.8,424529.06,404448.38,383939.56,366850.22,346709.38,306288.5,270443.72,198948.47,121978.73,90840.94,71448.89,51900.9,33865.074,20188.45,12798.919,11718.549,11176.326,10230.956,8220.033,8357.8125,8304.856,5485.659,0.0,4910.212,13743.534,48362.812,77038.29,106414.95,143381.84,273824.28,458229.1
27,514899.34,492066.0,496245.3,488155.2,478939.3,457695.16,435957.3,417833.2,396430.3,353361.2,314990.8,237866.78,153492.38,118522.95,96437.484,73601.52,51719.508,33855.688,22335.621,20410.77,19873.781,18668.277,14257.178,17411.781,18138.625,13931.406,4910.212,0.0,6361.3604,31963.0,56141.125,82053.08,115782.19,235652.7,514445.6
28,577895.6,553758.9,558176.7,549614.4,539867.25,517355.66,494290.16,475024.8,452269.06,406329.5,365234.56,282066.0,189618.44,150670.3,125678.67,99266.234,73286.92,50855.77,34993.14,32290.082,31633.37,30379.355,23887.297,29783.02,32346.62,26992.285,13743.534,6361.3604,0.0,17110.582,36452.426,58888.51,88821.016,195667.92,577338.6
29,763063.9,735253.3,740344.5,730463.6,719214.4,693154.6,666394.75,643968.5,617387.4,563398.6,514676.16,414542.03,299603.22,249230.8,216010.84,179772.33,142226.17,107326.15,79359.12,74468.625,73476.88,71906.39,59148.28,73602.55,81386.81,73128.37,48362.812,31963.0,17110.582,0.0,7641.2437,20552.604,40435.605,113769.29,762378.25
30,862604.6,833095.6,838505.4,828014.1,816056.7,788346.56,759852.06,735952.7,707589.6,649827.94,597560.8,489490.5,364028.8,308304.8,271302.53,230386.33,187541.53,146794.55,113099.836,107144.625,105910.14,103966.39,88312.39,106716.375,116732.65,107251.0,77038.29,56141.125,36452.426,7641.2437,0.0,8436.597,23843.387,81825.05,861806.3
31,943558.7,912740.4,918388.4,907434.4,894957.8,866035.3,836278.4,811282.2,781613.9,721081.7,666170.5,552268.9,419113.06,359496.2,319703.7,275386.34,228602.2,183794.08,146196.39,139446.7,138036.38,136235.95,118318.06,139263.69,151098.77,140521.38,106414.95,82053.08,58888.51,20552.604,8436.597,0.0,10678.325,56549.562,942606.6
32,1.0350417e+06,1.002908e+06,1.0087998e+06,997383.8,984370.3,954206.2,923153.5,897018.5,865979.5,802566.5,744940.5,624960.3,483818.94,420079.75,377344.94,329624.3,278533.2,229275.38,187304.66,179663.03,178134.34,176402.12,156125.12,180105.78,193952.67,182091.08,143381.84,115782.19,88821.016,40435.605,23843.387,10678.325,0.0,32590.416,1.0338734e+06
33,1.3659696e+06,1.3289534e+06,1.3357575e+06,1.3225872e+06,1.3075498e+06,1.2726425e+06,1.2366205e+06,1.206204e+06,1.1700362e+06,1.0957645e+06,1.0278433e+06,884955.7,713441.94,634441.56,580472.1,519568.3,452977.56,386895.38,328820.6,318493.1,316616.97,314670.06,286792.44,321990.06,343170.38,328451.34,273824.28,235652.7,195667.92,113769.29,81825.05,56549.562,32590.416,0.0,1.3645602e+06
