Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
17,0.016138703,0.22703776,0.23320767,0.24537088,0.24985324,0.24063829,0.26144093,0.2835343,0.3090995,0.28359795,0.30861008,0.32873827,0.41499972,0.49087244,0.64285785,0.7845052,0.9018681,1.0,0.88463765,0.80184,0.7429439,0.65698236,0.5809132,0.5372681,0.5008514,0.46200415,0.41589996,0.37312546,0.15324885
18,0.0043456424,0.23418757,0.23801032,0.25455028,0.25186574,0.23704419,0.253537,0.27243078,0.2967481,0.2611806,0.28178734,0.3033049,0.38512224,0.43991393,0.58112335,0.7055063,0.8093275,0.88463765,1.0,0.8943388,0.82908654,0.7468036,0.67742395,0.63222766,0.5989958,0.5519488,0.50411093,0.454579,0.18788233
19,-0.013137763,0.19035842,0.20302668,0.22477387,0.22667226,0.20855625,0.2306268,0.24926923,0.27733466,0.24979131,0.26709113,0.28094888,0.34390223,0.3947841,0.5245312,0.6253056,0.7259094,0.80184,0.8943388,1.0,0.9256702,0.8265679,0.7490816,0.7006606,0.65725285,0.6040697,0.54350376,0.4854405,0.20874394
20,-0.013152856,0.17515,0.1859186,0.2067234,0.20346005,0.18946809,0.21104005,0.23048198,0.26375023,0.23777601,0.2522995,0.25272876,0.30759573,0.3527096,0.46696913,0.56311035,0.66135645,0.7429439,0.82908654,0.9256702,1.0,0.91406906,0.83746886,0.79516655,0.7572994,0.7051281,0.6445276,0.57269984,0.21653447
21,-0.020409228,0.16777891,0.16777623,0.18883592,0.18408406,0.1684749,0.19238746,0.20184469,0.23381633,0.21756896,0.22772315,0.22398524,0.2719155,0.29660735,0.39226753,0.48115572,0.5686979,0.65698236,0.7468036,0.8265679,0.91406906,1.0,0.9269362,0.88027304,0.85594726,0.80491,0.74951893,0.6755627,0.25504887
22,-0.02452986,0.16272384,0.16244295,0.17816457,0.17607644,0.16068502,0.1794121,0.18288887,0.21246105,0.2045669,0.21092482,0.20892158,0.24825218,0.26363015,0.34941593,0.42489317,0.49684474,0.5809132,0.67742395,0.7490816,0.83746886,0.9269362,1.0,0.9429945,0.911708,0.859354,0.79839075,0.7252077,0.30984995
23,-0.02895952,0.1435912,0.14601114,0.16511409,0.16654053,0.15112467,0.16701739,0.17013074,0.20227633,0.19670919,0.20234224,0.19966415,0.23821855,0.2502972,0.31978357,0.39182222,0.4609429,0.5372681,0.63222766,0.7006606,0.79516655,0.88027304,0.9429945,0.9999999,0.9650425,0.9125746,0.8516488,0.77016425,0.33666694
24,-0.030506218,0.1426889,0.13884291,0.15504569,0.15307687,0.13507563,0.15004456,0.15588124,0.18313216,0.18027797,0.18808755,0.18210709,0.21503651,0.22585474,0.28556556,0.35741434,0.42432955,0.5008514,0.5989958,0.65725285,0.7572994,0.85594726,0.911708,0.9650425,0.9999999,0.9542682,0.89443314,0.81024384,0.34018892
25,-0.029562343,0.1306993,0.12679622,0.14397444,0.14221692,0.12384354,0.13840711,0.14289859,0.16823357,0.1677916,0.17023438,0.17112741,0.20064113,0.20376214,0.25302255,0.32483482,0.3891636,0.46200415,0.5519488,0.6040697,0.7051281,0.80491,0.859354,0.9125746,0.9542682,1.0,0.9360091,0.8466081,0.35998526
26,-0.01934714,0.12077871,0.11069465,0.12653889,0.1227019,0.10588733,0.1214711,0.12937045,0.15493721,0.15866531,0.16098532,0.16345145,0.18388802,0.18132892,0.2234655,0.28600624,0.34637505,0.41589996,0.50411093,0.54350376,0.6445276,0.74951893,0.79839075,0.8516488,0.89443314,0.9360091,0.99999994,0.92598206,0.36263838
27,-0.0054966044,0.106218845,0.09343681,0.09990605,0.08890898,0.07740967,0.09418255,0.099047646,0.120694466,0.13097572,0.13910173,0.13895357,0.16376391,0.15280294,0.18632792,0.24936272,0.30865526,0.37312546,0.454579,0.4854405,0.57269984,0.6755627,0.7252077,0.77016425,0.81024384,0.8466081,0.92598206,0.9999999,0.4411523
