Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
17,29159.955,28329.15,28482.576,28184.639,27843.225,27040.434,26202.195,25484.646,24616.465,22790.16,21063.47,17215.738,12107.795,9539.408,7671.51,5440.2637,2835.1855,0.0,2730.666,3207.127,3264.6816,3301.791,4652.135,2729.9316,1505.4941,2051.668,4621.627,6492.881,8506.916,14150.342,16790.643,18728.99,20734.428,28348.38,29159.994
18,31890.621,31059.816,31213.242,30915.305,30573.89,29771.1,28932.861,28215.312,27347.133,25520.826,23794.137,19946.404,14838.461,12270.074,10402.176,8170.9297,5565.8516,2730.666,0.0,476.46094,534.0156,571.125,1921.4688,489.586,1225.1719,678.99805,1890.9609,3762.2148,5776.25,11419.676,14059.977,15998.324,18003.762,25617.715,31890.66
19,32367.082,31536.277,31689.703,31391.766,31050.352,30247.56,29409.322,28691.773,27823.594,25997.287,24270.598,20422.865,15314.922,12746.535,10878.637,8647.391,6042.3125,3207.127,476.46094,0.0,126.06163,242.69043,1445.0078,477.1953,1701.6328,1155.459,1414.5,3285.754,5299.789,10943.215,13583.516,15521.863,17527.3,25141.254,32367.121
20,32424.637,31593.832,31747.258,31449.32,31107.906,30305.115,29466.877,28749.328,27881.148,26054.842,24328.152,20480.42,15372.477,12804.09,10936.191,8704.945,6099.867,3264.6816,534.0156,126.06163,0.0,171.76501,1387.4531,534.75,1759.1875,1213.0137,1356.9453,3228.1992,5242.2344,10885.66,13525.961,15464.309,17469.746,25083.7,32424.676
21,32461.746,31630.941,31784.367,31486.43,31145.016,30342.225,29503.986,28786.438,27918.258,26091.951,24365.262,20517.53,15409.586,12841.199,10973.301,8742.055,6136.9766,3301.791,571.125,242.69043,171.76501,0.0,1350.3438,571.8594,1796.2969,1250.123,1319.8359,3191.0898,5205.125,10848.551,13488.852,15427.199,17432.637,25046.59,32461.785
22,33812.09,32981.285,33134.71,32836.773,32495.36,31692.568,30854.33,30136.781,29268.602,27442.295,25715.605,21867.873,16759.93,14191.543,12323.645,10092.398,7487.3203,4652.135,1921.4688,1445.0078,1387.4531,1350.3438,0.0,1922.2031,3146.6406,2600.4668,470.457,1840.7461,3854.7812,9498.207,12138.508,14076.855,16082.293,23696.246,33812.13
23,31889.887,31059.082,31212.508,30914.57,30573.156,29770.365,28932.127,28214.578,27346.398,25520.092,23793.402,19945.67,14837.727,12269.34,10401.441,8170.1953,5565.117,2729.9316,489.586,477.1953,534.75,571.8594,1922.2031,0.0,1224.4375,678.2637,1891.6953,3762.9492,5776.9844,11420.41,14060.711,15999.059,18004.496,25618.45,31889.926
24,30665.45,29834.645,29988.07,29690.133,29348.719,28545.928,27707.69,26990.14,26121.96,24295.654,22568.965,18721.232,13613.289,11044.902,9177.004,6945.758,4340.6797,1505.4941,1225.1719,1701.6328,1759.1875,1796.2969,3146.6406,1224.4375,0.0,546.1738,3116.1328,4987.3867,7001.422,12644.848,15285.148,17223.496,19228.934,26842.887,30665.488
25,31211.623,30380.818,30534.244,30236.307,29894.893,29092.102,28253.863,27536.314,26668.133,24841.828,23115.139,19267.406,14159.463,11591.076,9723.178,7491.9316,4886.8535,2051.668,678.99805,1155.459,1213.0137,1250.123,2600.4668,678.2637,546.1738,0.0,2569.959,4441.213,6455.248,12098.674,14738.975,16677.322,18682.76,26296.713,31211.662
26,33781.582,32950.777,33104.203,32806.266,32464.852,31662.06,30823.822,30106.273,29238.094,27411.787,25685.098,21837.365,16729.422,14161.035,12293.137,10061.891,7456.8125,4621.627,1890.9609,1414.5,1356.9453,1319.8359,470.457,1891.6953,3116.1328,2569.959,0.0,1871.2539,3885.289,9528.715,12169.016,14107.363,16112.801,23726.754,33781.62
27,35652.836,34822.03,34975.457,34677.52,34336.105,33533.312,32695.076,31977.527,31109.348,29283.041,27556.352,23708.62,18600.676,16032.289,14164.391,11933.145,9328.066,6492.881,3762.2148,3285.754,3228.1992,3191.0898,1840.7461,3762.9492,4987.3867,4441.213,1871.2539,0.0,2014.0352,7657.461,10297.762,12236.109,14241.547,21855.5,35652.875
28,37666.87,36836.066,36989.492,36691.555,36350.14,35547.348,34709.113,33991.562,33123.383,31297.076,29570.387,25722.654,20614.71,18046.324,16178.426,13947.18,11342.102,8506.916,5776.25,5299.789,5242.2344,5205.125,3854.7812,5776.9844,7001.422,6455.248,3885.289,2014.0352,0.0,5643.426,8283.727,10222.074,12227.512,19841.465,37666.91
29,43310.297,42479.492,42632.918,42334.98,41993.566,41190.773,40352.54,39634.99,38766.81,36940.5,35213.812,31366.08,26258.137,23689.75,21821.852,19590.605,16985.527,14150.342,11419.676,10943.215,10885.66,10848.551,9498.207,11420.41,12644.848,12098.674,9528.715,7657.461,5643.426,0.0,2640.3008,4578.6484,6584.086,14198.039,43310.336
30,45950.598,45119.793,45273.22,44975.28,44633.867,43831.074,42992.84,42275.29,41407.11,39580.8,37854.113,34006.383,28898.438,26330.05,24462.152,22230.906,19625.828,16790.643,14059.977,13583.516,13525.961,13488.852,12138.508,14060.711,15285.148,14738.975,12169.016,10297.762,8283.727,2640.3008,0.0,1938.3477,3943.7852,11557.738,45950.637
31,47888.945,47058.14,47211.566,46913.63,46572.215,45769.42,44931.188,44213.637,43345.457,41519.15,39792.46,35944.727,30836.785,28268.398,26400.5,24169.254,21564.176,18728.99,15998.324,15521.863,15464.309,15427.199,14076.855,15999.059,17223.496,16677.322,14107.363,12236.109,10222.074,4578.6484,1938.3477,0.0,2005.4375,9619.391,47888.984
32,49894.383,49063.58,49217.004,48919.066,48577.652,47774.86,46936.625,46219.074,45350.895,43524.586,41797.9,37950.164,32842.223,30273.836,28405.938,26174.691,23569.613,20734.428,18003.762,17527.3,17469.746,17432.637,16082.293,18004.496,19228.934,18682.76,16112.801,14241.547,12227.512,6584.086,3943.7852,2005.4375,0.0,7613.953,49894.42
33,57508.336,56677.53,56830.957,56533.02,56191.605,55388.812,54550.58,53833.027,52964.848,51138.54,49411.85,45564.117,40456.176,37887.79,36019.89,33788.645,31183.566,28348.38,25617.715,25141.254,25083.7,25046.59,23696.246,25618.45,26842.887,26296.713,23726.754,21855.5,19841.465,14198.039,11557.738,9619.391,7613.953,0.0,57508.375
