Layer,KL_Div_Noise
0,1.4346503913402557
1,1.1533593833446503
2,1.089408814907074
3,0.9433960169553757
4,0.8589676022529602
5,0.490029513835907
6,0.3450995460152626
7,0.28259922191500664
8,0.18135424703359604
9,0.10014275461435318
10,0.0708283856511116
11,0.053074550814926624
12,0.043489592149853706
13,0.0631497548893094
14,0.03920746874064207
15,0.052702827379107475
16,0.04766497388482094
17,0.03336460539139807
18,0.03426549467258155
19,0.03347646491602063
20,0.023682963219471276
21,0.03804608108475804
22,0.022595918271690607
23,0.02922735596075654
24,0.018498749937862158
25,0.022212236654013395
26,0.01907589426264167
27,0.01720155344810337
28,0.02435483247973025
29,0.006879478576593101
30,0.004448345513083041
31,0.006904116657096893
