Layer,Router_Norm_Var,Router_Norm_Min,Router_Norm_Max,Router_Norm_Mean
0,0.013074136339128017,1.1033273935317993,1.6966198682785034,1.377995252609253
1,0.00465664267539978,1.0304985046386719,1.3831837177276611,1.1515886783599854
2,0.003028732491657138,0.9105331301689148,1.163438081741333,1.0449329614639282
3,0.005154892802238464,0.9259788990020752,1.4045978784561157,1.0620546340942383
4,0.0033047269098460674,0.8673589825630188,1.1790913343429565,1.0060701370239258
5,0.0032328905072063208,0.8348081707954407,1.121068000793457,0.9684813618659973
6,0.0020786661189049482,0.7452163100242615,0.9910591840744019,0.8586661219596863
7,0.001939405221492052,0.7882882952690125,1.0201740264892578,0.8905829787254333
8,0.0019137702183797956,0.7624562382698059,1.0204106569290161,0.8776019215583801
9,0.0018764897249639034,0.78513103723526,1.041581630706787,0.8969736099243164
10,0.001653249142691493,0.7773903012275696,0.9542707800865173,0.8667311072349548
11,0.0010369024239480495,0.739637017250061,0.9074273109436035,0.8250381946563721
12,0.0012109823292121291,0.7157943844795227,0.8923898339271545,0.7975400686264038
13,0.0008624964393675327,0.6989410519599915,0.8401297330856323,0.7707753777503967
14,0.0011169866193085909,0.6443050503730774,0.8217872977256775,0.7266484498977661
15,0.0012119055027142167,0.6321320533752441,0.7820970416069031,0.713723361492157
16,0.001559714786708355,0.5725352168083191,0.815416693687439,0.7016358971595764
17,0.0012624281225726008,0.5932267904281616,0.7556143403053284,0.6890733242034912
18,0.0013752579689025879,0.6382975578308105,0.7961903810501099,0.7220880389213562
19,0.0017954091308638453,0.5389079451560974,0.7458507418632507,0.6508045196533203
20,0.0014272709377110004,0.5162070989608765,0.7335292100906372,0.6267865300178528
21,0.0012020465219393373,0.5376080274581909,0.7054693102836609,0.603001594543457
22,0.0017687526997178793,0.46381333470344543,0.6458441615104675,0.5648801326751709
23,0.002671058289706707,0.4374578297138214,0.6453633308410645,0.5581151843070984
