Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
16,3.7924372e-06,0.0011652685,0.00083263696,0.0016442125,0.0028005652,0.0071950867,0.013393845,0.020266248,0.030567322,0.05928674,0.09529477,0.2062977,0.41993874,0.55543715,0.6660777,0.8114985,1.0,1.227786,1.4698288,1.5164292,1.5253632,1.5336888,1.6663133,1.4838446,1.3802377,1.4357078,1.6879976,1.8951813,2.126978,2.8085594,3.1747417,3.4729006,3.8095903,5.0271006,5.448934e-05
17,3.0888423e-06,0.00094908115,0.00067816133,0.0013391688,0.002280988,0.0058602127,0.010908943,0.016506337,0.024896298,0.048287522,0.07761514,0.16802415,0.34202927,0.45238924,0.5425031,0.66094464,0.8144742,1.0,1.1971377,1.2350925,1.242369,1.2491499,1.3571693,1.2085533,1.124168,1.169347,1.3748306,1.5435764,1.7323687,2.2874992,2.5857453,2.828588,3.1028132,4.094444,4.4380165e-05
18,2.5801896e-06,0.000792792,0.0005664857,0.0011186422,0.0019053683,0.004895187,0.009112521,0.013788169,0.020796519,0.04033581,0.06483393,0.14035492,0.2857059,0.3778924,0.45316684,0.5521041,0.6803513,0.8353258,1.0,1.0317047,1.0377829,1.0434473,1.1336784,1.0095357,0.9390466,0.9767858,1.1484314,1.2893891,1.4470923,1.9108071,2.1599398,2.3627927,2.59186,3.4201944,3.7071895e-05
19,2.5008997e-06,0.0007684292,0.00054907735,0.001084266,0.0018468156,0.004744756,0.00883249,0.013364455,0.020157434,0.03909628,0.06284156,0.13604176,0.27692604,0.36627963,0.43924087,0.5351378,0.6594439,0.80965596,0.96926963,1.0,1.0058914,1.0113817,1.0988401,0.97851235,0.9101894,0.9467688,1.1131397,1.2497658,1.4026226,1.8520874,2.093564,2.2901833,2.5122113,3.3150907,3.5932666e-05
20,2.4862518e-06,0.0007639285,0.00054586143,0.0010779154,0.0018359988,0.0047169663,0.008780758,0.013286179,0.020039374,0.038867295,0.0624735,0.13524497,0.27530408,0.36413434,0.43666825,0.53200346,0.65558153,0.8049138,0.96359265,0.994143,1.0,1.0054581,1.0924042,0.97278124,0.9048584,0.94122356,1.1066201,1.242446,1.3944075,1.8412398,2.0813022,2.2767696,2.4974973,3.2956743,3.572221e-05
21,2.4727553e-06,0.0007597816,0.00054289825,0.001072064,0.0018260323,0.0046913605,0.008733093,0.013214055,0.01993059,0.038656306,0.062134363,0.1345108,0.2738096,0.36215767,0.4342978,0.52911556,0.6520228,0.8005444,0.95836186,0.9887464,0.99457157,1.0,1.0864742,0.9675005,0.89994645,0.9361142,1.1006129,1.2357014,1.3868381,1.8312447,2.070004,2.2644103,2.4839396,3.2777839,3.552829e-05
22,2.2759448e-06,0.00069930934,0.00049968815,0.0009867367,0.0016806955,0.0043179677,0.008038011,0.012162328,0.018344283,0.03557959,0.05718899,0.12380487,0.25201666,0.33333296,0.39973137,0.48700237,0.6001272,0.7368278,0.8820843,0.91005045,0.915412,0.9204084,1.0,0.8904956,0.8283183,0.8616074,1.0130134,1.13735,1.2764574,1.685493,1.905249,2.0841823,2.2862391,3.0168998,3.270054e-05
23,2.5558181e-06,0.00078530353,0.00056113483,0.001108076,0.0018873708,0.0048489487,0.009026447,0.013657931,0.020600082,0.039954815,0.06422153,0.13902918,0.2830072,0.37432295,0.44888636,0.5468891,0.673925,0.8274356,0.99055433,1.0219595,1.0279803,1.0335912,1.1229701,1.0,0.9301767,0.9675594,1.1375837,1.27721,1.4334235,1.8927584,2.1395378,2.3404746,2.5673783,3.3878884,3.672173e-05
24,2.7476694e-06,0.000844252,0.00060325617,0.0011912531,0.0020290455,0.005212933,0.009704013,0.014683158,0.022146419,0.042954005,0.06904229,0.14946534,0.30425102,0.40242136,0.48258182,0.5879411,0.7245129,0.8895467,1.0649098,1.0986725,1.1051452,1.1111772,1.2072654,1.0750645,1.0,1.0401888,1.222976,1.3730832,1.5410229,2.0348375,2.300141,2.5161612,2.7600973,3.6421988,3.947823e-05
25,2.6415105e-06,0.0008116334,0.00057994877,0.0011452278,0.0019506512,0.0050115255,0.009329089,0.014115859,0.021290768,0.041294433,0.06637477,0.14369059,0.29249597,0.38687336,0.46393678,0.5652254,0.69652057,0.8551781,1.0237659,1.0562241,1.0624468,1.0682458,1.1606214,1.0335283,0.9613639,1.0,1.175725,1.3200327,1.4814838,1.9562193,2.2112727,2.4189467,2.653458,3.5014787,3.7952945e-05
26,2.2467077e-06,0.0006903259,0.00049326906,0.0009740609,0.001659105,0.004262498,0.007934754,0.012006088,0.018108629,0.035122525,0.05645433,0.122214444,0.24877922,0.3290509,0.39459634,0.48074627,0.5924179,0.72736233,0.8707529,0.8983598,0.9036525,0.90858465,0.9871538,0.87905616,0.81767756,0.850539,1.0,1.1227393,1.2600598,1.6638409,1.8807738,2.0574086,2.2568696,2.9781442,3.2280463e-05
27,2.0010946e-06,0.0006148586,0.0004393442,0.0008675753,0.0014777294,0.0037965162,0.007067316,0.010693567,0.01612897,0.031282883,0.05028267,0.1088538,0.22158235,0.29307863,0.35145855,0.42819044,0.527654,0.64784616,0.77556103,0.8001499,0.804864,0.809257,0.8792369,0.78295654,0.72828794,0.757557,0.8906787,1.0,1.1223084,1.4819475,1.6751652,1.8324898,2.0101457,2.6525695,2.8751518e-05
28,1.7830167e-06,0.0005478517,0.0003914648,0.00077302754,0.0013166874,0.0033827745,0.006297125,0.00952819,0.014371246,0.027873699,0.044802897,0.09699099,0.19743446,0.26113912,0.31315684,0.38152656,0.47015062,0.57724434,0.69104093,0.7129501,0.71715045,0.72106475,0.78341824,0.6976305,0.64891964,0.67499894,0.79361314,0.8910207,1.0,1.320446,1.4926068,1.6327864,1.7910813,2.3634944,2.5618197e-05
29,1.350314e-06,0.000414899,0.00029646407,0.00058542914,0.0009971536,0.0025618423,0.004768938,0.0072158873,0.01088363,0.021109305,0.033930127,0.0734532,0.14952104,0.19776584,0.2371599,0.28893766,0.35605443,0.4371586,0.52333903,0.5399313,0.54311234,0.54607666,0.5932982,0.5283295,0.49143976,0.5111901,0.601019,0.6747877,0.75731987,1.0,1.1303809,1.2365416,1.3564216,1.7899213,1.9401172e-05
30,1.1945656e-06,0.00036704357,0.0002622692,0.00051790435,0.00088213955,0.0022663535,0.0042188773,0.00638359,0.009628287,0.018674508,0.030016545,0.06498094,0.13227493,0.17495506,0.20980531,0.25561088,0.31498626,0.38673568,0.46297586,0.47765437,0.48046845,0.48309088,0.5248658,0.4673907,0.43475592,0.45222825,0.5316961,0.5969561,0.6699688,0.8846576,1.0,1.0939159,1.1999687,1.5834675,1.7163393e-05
31,1.0920086e-06,0.00033553177,0.0002397526,0.0004734407,0.0008064052,0.0020717802,0.003856674,0.005835539,0.008801669,0.017071245,0.027439533,0.05940213,0.12091873,0.15993464,0.19179289,0.23366593,0.28794375,0.35353327,0.423228,0.43664628,0.4392188,0.44161606,0.4798045,0.4272638,0.3974308,0.4134031,0.48604834,0.5457056,0.61244994,0.8087071,0.91414696,1.0,1.0969477,1.447522,1.5689864e-05
32,9.954973e-07,0.00030587762,0.00021856338,0.00043159825,0.00073513546,0.0018886772,0.003515823,0.005319797,0.008023782,0.015562497,0.025014441,0.054152198,0.11023199,0.1457997,0.17484233,0.21301463,0.2624954,0.32228816,0.3858233,0.3980557,0.40040085,0.40258625,0.4373996,0.3895024,0.36230606,0.37686673,0.44309163,0.4974764,0.55832195,0.73723394,0.8333551,0.9116205,1.0,1.3195908,1.4303202e-05
33,7.543985e-07,0.00023179734,0.00016562967,0.00032706978,0.00055709353,0.0014312598,0.0026643283,0.0040313993,0.0060805078,0.011793427,0.01895621,0.041037116,0.08353498,0.11048857,0.13249739,0.16142477,0.19892183,0.24423341,0.29238105,0.30165088,0.30342805,0.30508417,0.33146608,0.2951691,0.2745594,0.28559363,0.33577958,0.37699294,0.42310235,0.55868375,0.6315254,0.6908358,0.7578107,1.0,1.083912e-05
