Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
14,0.99916416,0.073942184,0.104887426,0.08211398,0.05201906,0.046095133,0.025714755,0.016573012,0.010779142,0.0052773952,0.003236115,0.0014847517,0.0009762049,0.00053960085,5.9604645e-08,0.0006534457,0.0011381507,0.0016508102,0.0023093224,0.003101945,0.004241824,0.0058363676,0.0066401362,0.0072541833,0.010142922,0.012103558,0.013966024,0.018126607,0.020991385,0.020407438,0.022655845,0.026131868,0.03106147,0.028031707,0.9973464
15,0.99932826,0.07420963,0.10549259,0.082973,0.052708805,0.047214627,0.026724875,0.017509222,0.0115816,0.005945921,0.0037964582,0.001940012,0.0014815927,0.000982523,0.0006534457,0.0,0.0006403923,0.0011922121,0.0018802285,0.0026811361,0.0037926435,0.0053294897,0.0061988235,0.0068746805,0.009865582,0.011886001,0.01380986,0.017926395,0.020700395,0.020174623,0.022338927,0.02580446,0.030863583,0.027932346,0.9970511
16,0.9981488,0.07546425,0.107103765,0.08468193,0.05410391,0.048900366,0.028208494,0.018752515,0.012675762,0.00680387,0.0045248866,0.0025191307,0.0019308925,0.0014612675,0.0011381507,0.0006403923,-1.1920929e-07,0.00072443485,0.0014984608,0.002255559,0.0033211708,0.004948616,0.005847752,0.0065618157,0.009571016,0.011613786,0.013514757,0.017601907,0.020410359,0.019872308,0.022145748,0.025637388,0.030509949,0.02764082,0.99537385
17,0.99905366,0.07639861,0.108266234,0.0859161,0.055184424,0.05022514,0.029252589,0.019725978,0.013602376,0.0075604916,0.005222857,0.003085494,0.002536416,0.001960218,0.0016508102,0.0011922121,0.00072443485,0.0,0.00087195635,0.0015625954,0.0026693344,0.004266262,0.00520581,0.006020546,0.009109914,0.011195898,0.013116956,0.017190158,0.019919395,0.019534767,0.021840632,0.025568604,0.030479014,0.027676225,0.9949138
18,0.9966345,0.07760173,0.10973686,0.08749932,0.056518316,0.051828444,0.030504048,0.020881474,0.014655113,0.008479297,0.00608325,0.0038522482,0.0031152964,0.0026125908,0.0023093224,0.0018802285,0.0014984608,0.00087195635,0.0,0.0008907318,0.0019721389,0.0035642385,0.0044355392,0.005446732,0.008412242,0.010498345,0.012560487,0.01653856,0.019291759,0.01899898,0.02127552,0.025218904,0.030112922,0.02750063,0.99278367
19,0.9946742,0.078814566,0.11111629,0.08905029,0.057920396,0.053341508,0.03181374,0.022060037,0.01577121,0.009488463,0.007029593,0.0046855807,0.0040010214,0.003415823,0.003101945,0.0026811361,0.002255559,0.0015625954,0.0008907318,-1.1920929e-07,0.0012011528,0.0028420687,0.0038908124,0.0049420595,0.007883608,0.009938061,0.012043953,0.015933216,0.018733501,0.018535256,0.020814419,0.024743974,0.02958256,0.027232826,0.9895588
20,0.9928789,0.08069056,0.11313224,0.091016114,0.059784412,0.0548898,0.033220172,0.023404062,0.017103672,0.010723352,0.008257568,0.00583899,0.005133152,0.0045212507,0.004241824,0.0037926435,0.0033211708,0.0026693344,0.0019721389,0.0012011528,-1.1920929e-07,0.0018534064,0.0031557083,0.0044264793,0.007256925,0.009358168,0.011535168,0.015609801,0.018459499,0.018371344,0.020621061,0.024532437,0.029405057,0.027221978,0.98560417
21,0.9922341,0.08237386,0.11470801,0.09267515,0.061398745,0.056625307,0.035081804,0.02517885,0.0189057,0.012432873,0.009965479,0.0074797273,0.006799996,0.0061211586,0.0058363676,0.0053294897,0.004948616,0.004266262,0.0035642385,0.0028420687,0.0018534064,0.0,0.0019953847,0.0034882426,0.00627017,0.008430898,0.010554671,0.0145456195,0.017549694,0.017650187,0.01978612,0.023956,0.029014826,0.02709204,0.9775434
22,0.9913949,0.082609355,0.114800096,0.09291971,0.06167394,0.0572955,0.035808682,0.025946379,0.019678414,0.013294458,0.010745347,0.008311808,0.007572472,0.0069569945,0.0066401362,0.0061988235,0.005847752,0.00520581,0.0044355392,0.0038908124,0.0031557083,0.0019953847,0.0,0.0021370053,0.0047022104,0.006806314,0.008999646,0.01268971,0.015882611,0.016035676,0.018233538,0.022314131,0.02730912,0.025953352,0.972462
23,0.9893254,0.08263177,0.11476916,0.09285432,0.061743975,0.057167232,0.035868883,0.026123106,0.019861817,0.013674259,0.011187315,0.008729398,0.008121908,0.007485807,0.0072541833,0.0068746805,0.0065618157,0.006020546,0.005446732,0.0049420595,0.0044264793,0.0034882426,0.0021370053,0.0,0.0029044151,0.005234778,0.0076431036,0.011612594,0.014594197,0.015022695,0.017270088,0.02112937,0.02618754,0.02494055,0.96555597
24,0.9878542,0.085286975,0.11721909,0.09544885,0.06436485,0.059963167,0.03850907,0.02892536,0.022686243,0.01665163,0.014172733,0.011728942,0.011046588,0.010426819,0.010142922,0.009865582,0.009571016,0.009109914,0.008412242,0.007883608,0.007256925,0.00627017,0.0047022104,0.0029044151,0.0,0.0023245811,0.004945457,0.0080420375,0.011262953,0.012306392,0.014601231,0.018658817,0.02399832,0.023462236,0.9490821
25,0.98852104,0.08760899,0.119555056,0.097850025,0.066612005,0.0620628,0.040498316,0.030968964,0.024701357,0.018651903,0.01612395,0.013697505,0.013038218,0.012433827,0.012103558,0.011886001,0.011613786,0.011195898,0.010498345,0.009938061,0.009358168,0.008430898,0.006806314,0.005234778,0.0023245811,-1.1920929e-07,0.003207326,0.005884528,0.0090405345,0.010191321,0.012658,0.016661406,0.021842003,0.022102237,0.94018346
26,0.98926175,0.08893472,0.12082511,0.09915149,0.06788522,0.063198686,0.04175687,0.032373965,0.026261747,0.020267785,0.017863333,0.015445054,0.014798224,0.014208257,0.013966024,0.01380986,0.013514757,0.013116956,0.012560487,0.012043953,0.011535168,0.010554671,0.008999646,0.0076431036,0.004945457,0.003207326,0.0,0.0033740997,0.0066547394,0.008288801,0.010923624,0.015099525,0.02006501,0.020331025,0.92879987
27,0.9901133,0.09272581,0.12451935,0.1029675,0.071905136,0.0673663,0.04590273,0.036642373,0.030547857,0.024594784,0.0221228,0.019615412,0.019055307,0.018306375,0.018126607,0.017926395,0.017601907,0.017190158,0.01653856,0.015933216,0.015609801,0.0145456195,0.01268971,0.011612594,0.0080420375,0.005884528,0.0033740997,-1.1920929e-07,0.0041645765,0.0060905814,0.008652866,0.012649298,0.017735124,0.019127667,0.91273636
28,0.98694944,0.095201194,0.12678754,0.1052441,0.074489534,0.06995565,0.048496306,0.039164126,0.033214927,0.027296841,0.024811566,0.022357583,0.021732867,0.021118581,0.020991385,0.020700395,0.020410359,0.019919395,0.019291759,0.018733501,0.018459499,0.017549694,0.015882611,0.014594197,0.011262953,0.0090405345,0.0066547394,0.0041645765,0.0,0.0032112002,0.0056905746,0.009677708,0.014661729,0.016180098,0.89897126
29,0.9881325,0.09435719,0.12583822,0.10432589,0.07374042,0.06930816,0.047979653,0.0386644,0.03271091,0.026770592,0.02424562,0.021804035,0.021251857,0.020510375,0.020407438,0.020174623,0.019872308,0.019534767,0.01899898,0.018535256,0.018371344,0.017650187,0.016035676,0.015022695,0.012306392,0.010191321,0.008288801,0.0060905814,0.0032112002,-1.1920929e-07,0.0028293133,0.006470084,0.011108935,0.013035953,0.8927989
30,0.98537016,0.09662205,0.12818825,0.10671812,0.07602531,0.071618736,0.050244153,0.04096198,0.035028636,0.029003024,0.026523352,0.024037838,0.023477674,0.022669256,0.022655845,0.022338927,0.022145748,0.021840632,0.02127552,0.020814419,0.020621061,0.01978612,0.018233538,0.017270088,0.014601231,0.012658,0.010923624,0.008652866,0.0056905746,0.0028293133,0.0,0.0036689043,0.008462548,0.011163056,0.8825066
31,0.98664045,0.098389864,0.12979764,0.10856396,0.07825041,0.074329615,0.053269565,0.044011652,0.038212657,0.032249868,0.029730856,0.027326107,0.026883781,0.02609682,0.026131868,0.02580446,0.025637388,0.025568604,0.025218904,0.024743974,0.024532437,0.023956,0.022314131,0.02112937,0.018658817,0.016661406,0.015099525,0.012649298,0.009677708,0.006470084,0.0036689043,0.0,0.00433141,0.007746756,0.86720693
32,0.9833943,0.10260689,0.13387555,0.11302245,0.08289921,0.07928026,0.058472276,0.049125314,0.04327649,0.03726238,0.034751475,0.032282233,0.03191322,0.0310328,0.03106147,0.030863583,0.030509949,0.030479014,0.030112922,0.02958256,0.029405057,0.029014826,0.02730912,0.02618754,0.02399832,0.021842003,0.02006501,0.017735124,0.014661729,0.011108935,0.008462548,0.00433141,0.0,0.0040688515,0.84461033
33,0.98643464,0.10146296,0.13316274,0.112048686,0.081519246,0.07766831,0.05659306,0.04693252,0.041049838,0.034778297,0.032086313,0.029441178,0.028989255,0.028160334,0.028031707,0.027932346,0.02764082,0.027676225,0.02750063,0.027232826,0.027221978,0.02709204,0.025953352,0.02494055,0.023462236,0.022102237,0.020331025,0.019127667,0.016180098,0.013035953,0.011163056,0.007746756,0.0040688515,-1.1920929e-07,0.83818334
