,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_10,0.2992219161684644,0.4019261617625375,0.4497661604488804,0.501372009271681,0.5453898254034463,0.5951671039931213,0.7011985500555953,0.7516576115661328,0.8235582202599734,0.8933217619697545,1.0,0.8952837295458026,0.8246839815822417,0.7692407321285557,0.701314073718053,0.6342841183719432,0.5902400673851432,0.5477914723287733,0.4981760706792202,0.45397482330344135,0.4231712753708298,0.3856584074602666,0.34339033539523656,0.08380875310553185
Layer_11,0.289320320476771,0.3842086801755438,0.43053384763505204,0.47871839646234754,0.5192152609793892,0.5624048605402604,0.6594312449247499,0.7041785484156972,0.764990924177943,0.8235543313620034,0.8952837295458026,1.0,0.8974049448674083,0.8292412931659395,0.7557165862398983,0.68137452658037,0.6294130692708502,0.5826919220394038,0.5291616711140069,0.48142799774122275,0.44986231167427737,0.4102104726773027,0.3616715316202287,0.088301759954606
Layer_12,0.2891474734262596,0.36558051867430374,0.4082060007654576,0.4542477964671492,0.4920070827690721,0.5341187186362214,0.6234051332329259,0.6607723734497927,0.7177783876633078,0.7650604885587138,0.8246839815822417,0.8974049448674083,1.0,0.9071629889962324,0.8227828573633861,0.7412903951778459,0.6847808577797629,0.6320568357794916,0.5730597138111949,0.5222212502597102,0.48622125677648476,0.44244490836020084,0.38969167688652495,0.09767738506380991
Layer_13,0.2869665672747841,0.3507305429081366,0.3912219999023972,0.4365376178648118,0.47151395192798484,0.5121186822530777,0.5957822303709488,0.6262409851064846,0.6754632438918199,0.7200716260414842,0.7692407321285557,0.8292412931659395,0.9071629889962324,1.0,0.9006491160412288,0.8116183423976445,0.7512546383778059,0.6939793086071467,0.6286837822779782,0.5740897734081227,0.5341606430837504,0.48650246712148043,0.42883876625091494,0.1083878640521754
Layer_14,0.2650436007102721,0.33098860923429674,0.368494688097714,0.4104764449557352,0.4428654960879139,0.4790535653887178,0.5575987903628556,0.5840077800012631,0.6242018468452223,0.6602940136638457,0.701314073718053,0.7557165862398983,0.8227828573633861,0.9006491160412288,1.0,0.8982853808918515,0.8273425766134926,0.7673882165470639,0.7005248426609992,0.6402897996359629,0.5950521663209632,0.5412649685588652,0.4684866119563628,0.1308522051921836
Layer_15,0.24876256234620459,0.30802291050785197,0.34347367662567274,0.3821093761999035,0.41025132502228584,0.4429834177999785,0.5165225972561052,0.5373892978163257,0.5731426347581018,0.6017203854303883,0.6342841183719432,0.68137452658037,0.7412903951778459,0.8116183423976445,0.8982853808918515,1.0,0.9175185796474453,0.8532600991556041,0.7836687510663812,0.7235008572868203,0.6715835568652985,0.6110436029360004,0.5271960939177717,0.15522887663310125
Layer_16,0.24446946521648905,0.2940099868834946,0.32526364898115373,0.3612302330114332,0.38751181047241967,0.4210443798876707,0.4873677915622717,0.5026455382945398,0.5357788670609761,0.5607416320784379,0.5902400673851432,0.6294130692708502,0.6847808577797629,0.7512546383778059,0.8273425766134926,0.9175185796474453,1.0,0.9306318727699486,0.8579580087724228,0.7955650699421776,0.7402971685664953,0.675268545490518,0.5893428024944959,0.16804381510598262
Layer_17,0.2354628491679925,0.285852498933978,0.3158497388103182,0.3499987360446986,0.37259251421148126,0.40312791285604654,0.459807986709351,0.47032147458007745,0.5008765978465599,0.5217598408436209,0.5477914723287733,0.5826919220394038,0.6320568357794916,0.6939793086071467,0.7673882165470639,0.8532600991556041,0.9306318727699486,1.0,0.9306901976478383,0.8667288330321816,0.8113343737146876,0.7455491136079143,0.6508496799593964,0.19354667592058408
Layer_18,0.20974886405184853,0.2704897514139405,0.30103868573147385,0.3323659894165692,0.35139420284393086,0.3755479685406915,0.4219766875498613,0.4299038817021419,0.45698293914177884,0.4756659735039938,0.4981760706792202,0.5291616711140069,0.5730597138111949,0.6286837822779782,0.7005248426609992,0.7836687510663812,0.8579580087724228,0.9306901976478383,1.0,0.9346529656897599,0.8777275005390563,0.8131023914866717,0.709625044726232,0.23770228621414896
Layer_19,0.19602438575610287,0.24858962858582404,0.2753554854746435,0.3045761069735965,0.3229904714956526,0.34590962275337916,0.3855407971470791,0.3911029387701739,0.4163243926323212,0.4332966687589469,0.45397482330344135,0.48142799774122275,0.5222212502597102,0.5740897734081227,0.6402897996359629,0.7235008572868203,0.7955650699421776,0.8667288330321816,0.9346529656897599,1.0,0.9378196257826347,0.8784625660582315,0.7780578601662982,0.28450388158080425
Layer_20,0.1817455963703768,0.2318958032092142,0.2561131834031909,0.2863965891698264,0.30349005982096716,0.32505612188826616,0.3604894246506359,0.36403372930172134,0.3879596018625224,0.40421550528716105,0.4231712753708298,0.44986231167427737,0.48622125677648476,0.5341606430837504,0.5950521663209632,0.6715835568652985,0.7402971685664953,0.8113343737146876,0.8777275005390563,0.9378196257826347,1.0,0.9403962002827632,0.8382536529225467,0.32603169400412757
Layer_21,0.1647328101983332,0.21561152327509808,0.24022351824094973,0.2696272929143359,0.2844729092060592,0.3035702337552835,0.33053364095191895,0.3328065942487787,0.3551238791850822,0.3689763840840158,0.3856584074602666,0.4102104726773027,0.44244490836020084,0.48650246712148043,0.5412649685588652,0.6110436029360004,0.675268545490518,0.7455491136079143,0.8131023914866717,0.8784625660582315,0.9403962002827632,1.0,0.9012978242910075,0.37306442322250666
Layer_22,0.13152923020644816,0.18221505310914246,0.2045804272412668,0.23485980791258676,0.2498908868390551,0.26982109182736214,0.29430099721329805,0.2946399620182684,0.31919989634204554,0.3278418033704906,0.34339033539523656,0.3616715316202287,0.38969167688652495,0.42883876625091494,0.4684866119563628,0.5271960939177717,0.5893428024944959,0.6508496799593964,0.709625044726232,0.7780578601662982,0.8382536529225467,0.9012978242910075,1.0,0.44640921518804594
Layer_23,0.020450158827853473,0.04104710344673668,0.04932571244315472,0.05166477290493948,0.055244922345041934,0.05282757813255871,0.06283808532525632,0.06871277425532747,0.07154260590416207,0.07703094130700773,0.08380875310553185,0.088301759954606,0.09767738506380991,0.1083878640521754,0.1308522051921836,0.15522887663310125,0.16804381510598262,0.19354667592058408,0.23770228621414896,0.28450388158080425,0.32603169400412757,0.37306442322250666,0.44640921518804594,1.0
