,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_10,10.407546250376909,10.398224394405405,10.394953336801615,3.387287614581821,3.3827740873448873,3.0452135451943487,3.0419676718130453,3.033418928028178,3.015640311460274,2.9383166006008845,0.0,0.006652536636666928,0.029563449675569665,0.04372674515844612,0.06126042940851414,0.0752173860837308,0.09565183906575679,0.3729513072020494,0.417043562383558,0.5219635339080066,0.6104885693654772,0.741665751010448,0.8522413410093821,0.9552417143166407,1.2636352438696283,1.4730224417038964,1.6140496310984669,4.373422941938958,9.2185927491809,9.245139089985816,12.052687263801193,10.990138413181665
Layer_11,10.429149945576986,10.419735752686822,10.416313803654827,3.4094141816184913,3.404564841617628,3.0633624604156426,3.0598375830832905,3.0512870080360224,3.0326906082561327,2.9536222116342827,0.006652536636666928,0.0,0.01483838276267906,0.027307515663386954,0.042354864218591866,0.05817933526442346,0.07734146315747846,0.345772536744552,0.3923961581459405,0.49199747446128134,0.579566811509644,0.7067603143290552,0.8167105113552009,0.9185962659428102,1.2196820598464828,1.4255764420944388,1.5660851349311222,4.321030647612126,9.175521130448574,9.200872231076527,12.010883389097271,10.992470443688095
Layer_12,10.51949812446238,10.509997442059591,10.506463373029554,3.5099833279872508,3.5048670889313938,3.1520262425681493,3.148216769410439,3.139769032805011,3.1178727382725375,3.0363844316040853,0.029563449675569665,0.01483838276267906,0.0,0.009511185507156582,0.021914116502796694,0.038526611022779336,0.055540515032095755,0.3013244042574237,0.35170246976794617,0.44507162220452673,0.5309017349910189,0.6534232286817221,0.7622865782127725,0.8628195649673468,1.1539296400927794,1.3557514565387385,1.4956748728670124,4.246818312458285,9.15666151281071,9.178625603565713,11.998516379566489,11.054656989451415
Layer_13,10.619033050771428,10.609553344126708,10.605936854516356,3.569382765540132,3.563887053684169,3.2116547373964783,3.2071106415684354,3.1982935723481756,3.175055169121322,3.090912279327393,0.04372674515844612,0.027307515663386954,0.009511185507156582,0.0,0.008770935765996173,0.023111793992889894,0.0371972721430071,0.27363951922829866,0.3195021860942208,0.40420522141124654,0.48610325183270897,0.6019702815160118,0.7079647758961896,0.8070959285768108,1.0856461888644462,1.2821507657970395,1.420530224022174,4.198644536914247,9.154444744116356,9.169327995603345,11.987178750940272,11.123128923405202
Layer_14,10.639671184311725,10.63010395988883,10.62632502345742,3.589672282447979,3.583636439085788,3.2335820510971263,3.228502079643108,3.219508708328814,3.1956978659408684,3.1095570797874097,0.06126042940851414,0.042354864218591866,0.021914116502796694,0.008770935765996173,0.0,0.013786499904900374,0.025516688405710787,0.2538818610949559,0.29864079493611295,0.37111726338554857,0.45031033603994697,0.5563891978414209,0.6618298660478662,0.7592673740066729,1.0214061629176627,1.210102067190931,1.3486238843002445,4.117308750785247,9.075240256647708,9.087095564061945,11.90268832869846,11.122571375797657
Layer_15,10.762961340380144,10.753277564615036,10.749435027245124,3.671221233336873,3.664841329021399,3.2998545465778855,3.294487336966271,3.285222311985483,3.2583173296729333,3.171892323582315,0.0752173860837308,0.05817933526442346,0.038526611022779336,0.023111793992889894,0.013786499904900374,0.0,0.011430388611697886,0.22263134738932272,0.26149804710756064,0.33154714313762096,0.4077816187944889,0.5113093078526975,0.6147315863162938,0.7110604236206005,0.9680108114112898,1.1549691017488297,1.2924911104978645,4.093951210050091,9.114532597234852,9.121861781183567,11.950690651018048,11.220577217339493
Layer_16,10.779472098010764,10.76985030521827,10.765898662351566,3.6875013583122365,3.6808343719352377,3.3200733943687513,3.3140529875600073,3.3040704175427154,3.276634367492529,3.188994072817028,0.09565183906575679,0.07734146315747846,0.055540515032095755,0.0371972721430071,0.025516688405710787,0.011430388611697886,0.0,0.2106817366035135,0.2464501589146137,0.3128145564100373,0.3871831643493521,0.48595164224419996,0.5871566002433365,0.6792977016348999,0.9297751875122876,1.1129480049709723,1.2487525931154482,4.046426782248744,9.062991889356883,9.070036337084696,11.895089557578972,11.213574485247689
Layer_17,11.936016438536523,11.925602439189914,11.921339301766185,4.798706851124666,4.791016173304152,4.161260445204843,4.160080748830635,4.154279966758569,4.0760153592316275,3.983646076688212,0.3729513072020494,0.345772536744552,0.3013244042574237,0.27363951922829866,0.2538818610949559,0.22263134738932272,0.2106817366035135,0.0,0.020773560205363133,0.06387267438092259,0.10746285961262034,0.18426748417031072,0.25057081216725047,0.33743428005047454,0.5491003595493935,0.7199200829651198,0.8567934459979958,3.7348921142768705,9.369191796929986,9.39577782261479,12.469436101108961,12.242790931761022
Layer_18,12.096593058177627,12.08615627452841,12.08183984069137,4.911005664662588,4.903110602563957,4.261520237389595,4.25973324178673,4.2534029266806925,4.171552279144891,4.078040833042646,0.417043562383558,0.3923961581459405,0.35170246976794617,0.3195021860942208,0.29864079493611295,0.26149804710756064,0.2464501589146137,0.020773560205363133,0.0,0.04259536794579781,0.08052548842411565,0.15357090884256713,0.21166910704631087,0.2927020473571999,0.4999314589787467,0.6691649695286294,0.8050432255969099,3.7231664331500203,9.424090933741164,9.446722522316948,12.538825745859857,12.374990100844974
Layer_19,12.194332839034796,12.183933836822135,12.179463024123782,5.008613291185084,4.999997362360224,4.365998989729292,4.362689974657538,4.35594940092796,4.273514347326355,4.1757374359973625,0.5219635339080066,0.49199747446128134,0.44507162220452673,0.40420522141124654,0.37111726338554857,0.33154714313762096,0.3128145564100373,0.06387267438092259,0.04259536794579781,0.0,0.031852271865495003,0.07711030027839026,0.13103785135163137,0.20561105953826952,0.3623287806395719,0.5086861898379673,0.6377520204371453,3.513053559358739,9.204566422102396,9.21466657551071,12.284089967913554,12.383619436174998
