Layer,Baseline_PPL,Ablated_PPL,PPL_Degradation
0,38.50631025930953,26362.396491982418,26323.89018172311
1,38.50631025930953,282.51910747004365,244.0127972107341
2,38.50631025930953,65.86820471780376,27.361894458494234
3,38.50631025930953,10518.566673952862,10480.060363693552
4,38.50631025930953,8187.198775205297,8148.692464945988
5,38.50631025930953,443.21130825364804,404.7049979943385
6,38.50631025930953,775.5266952228187,737.0203849635092
7,38.50631025930953,408.71155698211703,370.2052467228075
8,38.50631025930953,2604.550804750915,2566.0444944916057
9,38.50631025930953,119.5791538414444,81.07284358213487
10,38.50631025930953,144.44534331782916,105.93903305851963
11,38.50631025930953,199.3354294859614,160.82911922665187
12,38.50631025930953,179.24536331744943,140.73905305813992
13,38.50631025930953,265.24060738258345,226.7342971232739
14,38.50631025930953,147.38357088207286,108.87726062276333
15,38.50631025930953,24.309933851387584,-14.196376407921946
16,38.50631025930953,17.260214491279754,-21.246095768029775
17,38.50631025930953,584.0391779164627,545.5328676571531
18,38.50631025930953,127.57232876233272,89.06601850302319
19,38.50631025930953,39.481191987730554,0.9748817284210247
20,38.50631025930953,14.894069499666417,-23.612240759643115
21,38.50631025930953,29.76732286399972,-8.73898739530981
22,38.50631025930953,83.56522665576291,45.058916396453384
23,38.50631025930953,8.113334149248253,-30.392976110061277
24,38.50631025930953,26.197046755443004,-12.309263503866525
25,38.50631025930953,133.00920231724973,94.5028920579402
26,38.50631025930953,23.5029494397929,-15.00336081951663
27,38.50631025930953,15.104314346937088,-23.401995912372442
28,38.50631025930953,24.814912152026867,-13.691398107282662
29,38.50631025930953,63.98814903635106,25.48183877704153
30,38.50631025930953,57.613079454582206,19.106769195272676
31,38.50631025930953,60.45054063368398,21.94423037437445
32,38.50631025930953,21.14389217485061,-17.36241808445892
33,38.50631025930953,11.647025989680479,-26.85928426962905
