Layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
17,97913.97,96574.09,96673.63,96487.36,95977.36,95320.46,94481.07,93439.805,92479.21,89933.164,87568.44,83016.09,78222.78,72458.12,66553.25,57009.965,43161.082,0.0,51075.543,69668.24,91125.44,116475.83,135228.72,134406.11,157679.53,179287.1,210780.6,257129.6,298670.1,344002.75,386417.88,434734.7,496859.28,549571.25,97688.22
18,113315.26,112126.375,112232.305,112031.625,111670.54,111258.45,110357.805,109452.26,108287.98,105950.97,103601.49,99543.695,93074.97,88724.23,83212.336,76398.69,67080.06,51075.543,0.0,52325.24,77458.96,104504.79,123813.61,127867.0,153006.78,173553.03,205316.56,250284.78,292773.66,337666.12,379579.88,429360.56,491186.1,545275.75,112852.5
19,127274.17,126239.27,126348.11,126155.89,125747.66,125439.2,124430.89,123404.17,122319.14,120034.305,117976.81,113688.06,108387.83,103335.625,98532.58,91615.86,83361.05,69668.24,52325.24,0.0,60553.734,92872.625,115770.375,122523.42,150219.19,169634.78,200932.8,245093.97,287137.78,332572.25,374534.06,424361.38,486810.94,541560.1,126444.0
20,143335.7,142489.62,142560.69,142377.53,142036.69,141703.53,140894.47,139819.36,138693.47,136352.58,134051.66,129584.23,124280.16,119399.766,115715.984,109159.47,101415.54,91125.44,77458.96,60553.734,0.0,75646.805,103679.84,115546.22,144226.72,165026.34,195834.56,242591.8,284960.72,329246.5,371016.4,421635.56,483264.0,539261.8,142438.94
21,166186.12,165468.47,165485.16,165304.25,164954.56,164495.61,163552.39,162464.72,161545.16,159105.81,156959.95,152535.9,146544.1,141902.17,138046.23,132355.34,125854.84,116475.83,104504.79,92872.625,75646.805,0.0,81302.36,103820.66,134804.12,157096.12,187398.77,234463.66,277129.56,322628.94,363201.7,414906.75,477228.8,532771.75,164990.06
22,179495.94,178737.69,178809.42,178711.67,178341.94,177959.17,177214.81,176170.94,175171.61,173034.19,170973.69,166562.64,160643.88,156859.52,152325.69,147951.16,142728.4,135228.72,123813.61,115770.375,103679.84,81302.36,0.0,83823.82,119369.22,143826.86,173740.03,220048.16,264871.06,308488.75,350189.94,401292.7,464030.3,523555.03,178189.72
23,175795.56,175054.66,175101.81,174928.77,174597.33,174136.36,173325.67,172355.61,171407.19,169272.45,166945.69,162292.81,157546.56,153233.98,150049.61,145960.61,140694.03,134406.11,127867.0,122523.42,115546.22,103820.66,83823.82,0.0,91724.17,124558.484,162211.78,212772.88,257370.17,302746.9,343852.72,395323.56,459085.44,517920.8,174149.72
24,196279.4,195487.25,195551.4,195453.44,195070.1,194573.14,193532.84,192595.94,191429.22,189448.84,187427.47,182898.75,178035.77,173835.19,169998.25,167193.61,163055.0,157679.53,153006.78,150219.19,144226.72,134804.12,119369.22,91724.17,0.0,81191.516,132035.55,180863.75,229370.62,277763.38,321657.12,375309.8,442788.03,504796.44,194039.4
25,217371.12,216674.33,216688.7,216569.06,216103.72,215602.94,214405.34,213660.12,212652.72,210824.66,208577.81,204163.58,199282.75,195342.27,191423.69,188892.25,184545.28,179287.1,173553.03,169634.78,165026.34,157096.12,143826.86,124558.484,81191.516,0.0,106292.43,155631.7,206786.2,256672.6,302641.56,357583.3,424090.44,489529.06,214762.14
26,247650.8,246805.97,246964.42,246737.03,246291.47,245791.61,244613.06,243882.38,242909.34,240872.28,238803.38,234596.97,229370.3,226039.67,222742.69,220338.25,215681.19,210780.6,205316.56,200932.8,195834.56,187398.77,173740.03,162211.78,132035.55,106292.43,0.0,115910.46,176260.39,230443.6,279661.06,337663.56,404892.9,468588.25,244850.52
27,293979.8,293314.8,293378.3,293207.44,292859.2,292288.88,291093.16,290405.2,289510.25,287749.94,285656.53,281383.94,277057.88,272868.44,270106.5,267167.7,262500.94,257129.6,250284.78,245093.97,242591.8,234463.66,220048.16,212772.88,180863.75,155631.7,115910.46,0.0,135796.75,193748.72,245250.1,304438.22,376495.3,442589.78,290868.75
28,333645.7,333240.12,333317.66,333083.4,332723.88,332379.72,331219.0,330332.2,329404.2,327590.25,325466.62,321297.3,316399.97,312817.2,310075.94,307135.16,303385.8,298670.1,292773.66,287137.78,284960.72,277129.56,264871.06,257370.17,229370.62,206786.2,176260.39,135796.75,0.0,136658.42,197216.16,267326.16,341446.9,406306.5,330202.75
29,378722.2,378223.25,378306.97,378085.0,377765.5,377316.06,376141.34,375324.56,374511.25,372649.75,370473.2,366239.9,361909.25,358469.0,355671.25,353060.75,349122.2,344002.75,337666.12,332572.25,329246.5,322628.94,308488.75,302746.9,277763.38,256672.6,230443.6,193748.72,136658.42,0.0,136513.02,215277.56,293211.7,365221.06,375072.97
30,421309.22,420870.44,420950.03,420695.6,420327.75,419930.4,418657.62,418016.06,417299.06,415488.7,413388.06,409061.25,404065.1,400498.88,398685.62,394875.47,391061.06,386417.88,379579.88,374534.06,371016.4,363201.7,350189.94,343852.72,321657.12,302641.56,279661.06,245250.1,197216.16,136513.02,0.0,156229.55,248252.83,329672.84,417413.3
31,469785.44,468846.28,468948.94,468782.6,468341.88,467795.8,466541.25,465733.2,464963.88,462899.62,460822.62,456602.66,452262.8,448877.62,446593.2,443015.0,440011.44,434734.7,429360.56,424361.38,421635.56,414906.75,401292.7,395323.56,375309.8,357583.3,337663.56,304438.22,267326.16,215277.56,156229.55,0.0,180915.95,281371.0,465466.88
32,531674.9,530551.06,530700.06,530431.06,530056.6,529609.94,528602.25,527670.0,526863.25,524834.56,522736.1,518143.94,513687.12,510199.06,507784.06,504868.0,500894.62,496859.28,491186.1,486810.94,483264.0,477228.8,464030.3,459085.44,442788.03,424090.44,404892.9,376495.3,341446.9,293211.7,248252.83,180915.95,0.0,197747.88,527093.9
33,583885.1,583200.0,583380.2,583241.1,582709.3,582339.6,581408.1,580687.94,579887.0,577927.56,575634.5,571295.25,566600.5,562679.25,560782.8,557823.4,553482.06,549571.25,545275.75,541560.1,539261.8,532771.75,523555.03,517920.8,504796.44,489529.06,468588.25,442589.78,406306.5,365221.06,329672.84,281371.0,197747.88,0.0,578684.6
