Layer,Outlier_IoU
MoE_Layer_0,0.2126667295694351
MoE_Layer_1,0.5274065045118332
MoE_Layer_2,0.6900722153186798
MoE_Layer_3,0.7567543233633042
MoE_Layer_4,0.7641163129806519
MoE_Layer_5,0.7355064624547958
MoE_Layer_6,0.6919006172418595
MoE_Layer_7,0.7248007725477219
MoE_Layer_8,0.7629478695392609
MoE_Layer_9,0.7721244058609009
MoE_Layer_10,0.7372045208215714
MoE_Layer_11,0.7119534302949906
MoE_Layer_12,0.6888318804502487
MoE_Layer_13,0.6663564214706421
MoE_Layer_14,0.638962343454361
MoE_Layer_15,0.6388852751255035
MoE_Layer_16,0.6475987404584884
MoE_Layer_17,0.6522729778289795
MoE_Layer_18,0.6567012637853622
MoE_Layer_19,0.6453726927042007
MoE_Layer_20,0.6199849116802215
MoE_Layer_21,0.5868794841766357
MoE_Layer_22,0.4679381404519081
MoE_Layer_23,0.1342479009181261
