Layer,Baseline_PPL,Ablated_PPL,PPL_Degradation
0,12.87920737109251,46277.71363900558,46264.83443163449
1,12.87920737109251,43200.229358178294,43187.3501508072
2,12.87920737109251,14.290903095736295,1.411695724643785
3,12.87920737109251,19.199024430334156,6.319817059241645
4,12.87920737109251,15.73505644322155,2.8558490721290397
5,12.87920737109251,19.272807275891562,6.393599904799052
6,12.87920737109251,52.828540515152554,39.94933314406004
7,12.87920737109251,15.117126452842765,2.2379190817502543
8,12.87920737109251,15.654129765173181,2.7749223940806704
9,12.87920737109251,13.364863450484375,0.4856560793918643
10,12.87920737109251,13.106445571595163,0.22723820050265253
11,12.87920737109251,13.812693986847567,0.9334866157550561
12,12.87920737109251,13.235244410011832,0.3560370389193217
13,12.87920737109251,14.830099270894955,1.9508918998024445
14,12.87920737109251,12.525877018281564,-0.3533303528109464
15,12.87920737109251,15.982730615091818,3.103523243999307
16,12.87920737109251,22.788914970407742,9.909707599315231
17,12.87920737109251,16.622428897687364,3.743221526594853
18,12.87920737109251,13.748951153072612,0.8697437819801017
19,12.87920737109251,13.824168047832194,0.944960676739683
20,12.87920737109251,13.924247861834846,1.0450404907423358
21,12.87920737109251,17.20814789598725,4.328940524894739
22,12.87920737109251,16.303255353010076,3.4240479819175658
23,12.87920737109251,43.791616673623444,30.912409302530932
