,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_10,0.7010502960474935,0.5981211833149366,0.5502290085482852,0.49864749709276956,0.45461263898744825,0.40482931816607204,0.2988407760736495,0.24835881295504872,0.17648102112425634,0.1066939411448417,0.0,0.10472277136341067,0.1753236259914245,0.2307770580761165,0.2986895260900674,0.365723044827373,0.409748147639166,0.4522033352328557,0.5018077404112429,0.5460042697205884,0.5767987700488897,0.6143550831064838,0.656605110438899,0.9161674337527188
Layer_11,0.7108878130604263,0.6158096292387941,0.5694543219413257,0.5212857159652444,0.48077007569220104,0.4375876799945847,0.34059103979232563,0.295831112271933,0.23503659110299688,0.1764570900302359,0.10472277136341067,0.0,0.10260422184855893,0.17077836186840922,0.24428927991157862,0.31861915342344993,0.37057588863919544,0.4173049392708006,0.4708139211256713,0.5185413464086159,0.5501000910240739,0.5897856608069793,0.6383211284656196,0.9116702414469383
Layer_12,0.7111142272835965,0.6344352717237527,0.5917836843114911,0.5457426202677977,0.5079603841029455,0.46586467226834494,0.376638595292453,0.33924472288066104,0.28224163461571145,0.23492536019536925,0.1753236259914245,0.10260422184855893,0.0,0.09285612969394594,0.17721402147185306,0.25869878821447184,0.3151924531543772,0.3679199327610244,0.42690200111496945,0.47774301546211617,0.5137369896328713,0.5575667696346718,0.610316775183908,0.9023159582299057
Layer_13,0.7132132038242206,0.6492671184516363,0.6087626335710702,0.563443754756187,0.5284559744044858,0.48787265447297123,0.4042732079042752,0.3737886101861746,0.324556396692918,0.27993555731894443,0.2307770580761165,0.17077836186840922,0.09285612969394594,0.0,0.09936396764205382,0.18839282407612218,0.2487645519258154,0.30603843336706765,0.3713230411114017,0.42591954219741573,0.4658474928526289,0.5135339355732358,0.571189343392312,0.8916149994481987
Layer_14,0.7352423973131336,0.6690322085543796,0.6315077660417674,0.5895092973545084,0.5570974008749978,0.5209345054567885,0.44246450830540823,0.4160422709611085,0.3758492788069566,0.33972072484159355,0.2986895260900674,0.24428927991157862,0.17721402147185306,0.09936396764205382,0.0,0.10171052396151006,0.17263922659126488,0.23260283040570784,0.29946510831807893,0.35970760285122094,0.4049393236881197,0.4587674119939187,0.5315462040129887,0.8691538262511257
Layer_15,0.7514814180028331,0.6919774020382071,0.6565147403270665,0.6178562458571013,0.5896921744852355,0.556986951320314,0.48353456789406474,0.4626483218431668,0.42690102049408146,0.3982914344489233,0.365723044827373,0.31861915342344993,0.25869878821447184,0.18839282407612218,0.10171052396151006,0.0,0.08248308654889819,0.14674535230180458,0.21632951756757757,0.27650687608632957,0.32841081125242216,0.3889878428831733,0.47284456330864866,0.8447697124185375
Layer_16,0.7558640162418554,0.7060011203273411,0.6747352383255861,0.6387426319130125,0.6124316900846511,0.5789275242596937,0.5126905301181534,0.49739916221125025,0.4642691171921051,0.43925479198458933,0.409748147639166,0.37057588863919544,0.3151924531543772,0.2487645519258154,0.17263922659126488,0.08248308654889819,0.0,0.06937026103728136,0.14205164923031344,0.20445087124928404,0.2597149491407752,0.32478671016310395,0.4107142070294598,0.8319710060453728
Layer_17,0.7648310713061146,0.7141538298003113,0.6841515424942795,0.649975300396592,0.6273590247715037,0.5968662212365577,0.5402678576382723,0.5297337302558253,0.49917434774687014,0.47824097385082354,0.4522033352328557,0.4173049392708006,0.3679199327610244,0.30603843336706765,0.23260283040570784,0.14674535230180458,0.06937026103728136,0.0,0.06931349081059736,0.13328267242164518,0.18867812988506194,0.25449192914486324,0.34918390982078784,0.80644153773687
Layer_18,0.7904595318605039,0.7295099123397096,0.6989550974210884,0.6676193391759312,0.6485674512571824,0.6244511831060576,0.5780904955252774,0.5701277248201363,0.5430408369362305,0.5243141302117357,0.5018077404112429,0.4708139211256713,0.42690200111496945,0.3713230411114017,0.29946510831807893,0.21632951756757757,0.14205164923031344,0.06931349081059736,0.0,0.06534743904579281,0.12227029613936953,0.18691501887873682,0.29039183481124264,0.7622607126282825
Layer_19,0.8041440685150762,0.7514048564834345,0.7246339617939292,0.6954070406795817,0.6769720515591702,0.6540843704555193,0.6144964995440844,0.6089077613131127,0.58368195887475,0.5666784981447199,0.5460042697205884,0.5185413464086159,0.47774301546211617,0.42591954219741573,0.35970760285122094,0.27650687608632957,0.20445087124928404,0.13328267242164518,0.06534743904579281,0.0,0.06218058153999135,0.12154720129291119,0.2219588297688502,0.7154502194743972
Layer_20,0.8184185645235649,0.7681026402113381,0.7438690334582895,0.713590380234566,0.6964759190340299,0.6749334891100187,0.6395501526382299,0.6359690034077072,0.6120460523043765,0.5957592013768735,0.5767987700488897,0.5501000910240739,0.5137369896328713,0.4658474928526289,0.4049393236881197,0.32841081125242216,0.2597149491407752,0.18867812988506194,0.12227029613936953,0.06218058153999135,0.0,0.05961868301168218,0.1617795832815178,0.673918199065667
Layer_21,0.8353370804336596,0.7843877546592973,0.7597706184877322,0.730374689550306,0.7155192799005813,0.6964520280425613,0.6695032708230905,0.667220137262813,0.6449060403451287,0.631046741151302,0.6143550831064838,0.5897856608069793,0.5575667696346718,0.5135339355732358,0.4587674119939187,0.3889878428831733,0.32478671016310395,0.25449192914486324,0.18691501887873682,0.12154720129291119,0.05961868301168218,0.0,0.09871222648729953,0.6268645466643216
Layer_22,0.868536286306225,0.817783628937458,0.7954078893086444,0.7651418272610281,0.7501079559716702,0.7302094052479366,0.7057326413831391,0.7053837247992226,0.6808231293081163,0.6721706320329537,0.656605110438899,0.6383211284656196,0.610316775183908,0.571189343392312,0.5315462040129887,0.47284456330864866,0.4107142070294598,0.34918390982078784,0.29039183481124264,0.2219588297688502,0.1617795832815178,0.09871222648729953,0.0,0.5535339025763778
Layer_23,0.9795194573623771,0.9589434250194601,0.9506139701795226,0.948298737864383,0.9447094248630638,0.9471683433854512,0.9371433562670058,0.9312738785115936,0.9284616151304396,0.9229643635824017,0.9161674337527188,0.9116702414469383,0.9023159582299057,0.8916149994481987,0.8691538262511257,0.8447697124185375,0.8319710060453728,0.80644153773687,0.7622607126282825,0.7154502194743972,0.673918199065667,0.6268645466643216,0.5535339025763778,0.0
