,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23
Layer_13,412.51557831135466,404.60041717854216,404.42072967854216,404.27229217854216,404.05354217854216,403.5614570536446,13.0,12.5,12.0,11.5,11.0,10.75,10.75,0.0,1.8870186770577395,4.192144470464783,11.076301443488944,151.25440212940214,155.95178132678132,156.62365632678132,158.13928132678132,173.67419763513513,175.50909858722358,494.4641687141687
Layer_14,412.76557831135466,404.85041717854216,404.67072967854216,404.52229217854216,404.30354217854216,403.8114570536446,13.25,12.75,12.25,11.75,11.25,11.0,11.0,1.8870186770577395,0.0,3.3457351172194922,10.290265407452907,151.12940212940214,155.82678132678132,156.49865632678132,158.01428132678132,173.54919763513513,175.38409858722358,494.7141687141687
Layer_15,412.76557831135466,404.85041717854216,404.67072967854216,404.52229217854216,404.30354217854216,403.8114570536446,13.25,12.75,12.25,11.75,11.25,11.0,11.0,4.192144470464783,3.3457351172194922,0.0,8.75,150.87940212940214,155.57678132678132,156.24865632678132,157.76428132678132,173.29919763513513,175.13409858722358,494.7141687141687
Layer_16,421.51557831135466,413.60041717854216,413.42072967854216,413.27229217854216,413.05354217854216,412.5614570536446,22.0,21.5,21.0,20.5,20.0,19.75,19.75,11.076301443488944,10.290265407452907,8.75,0.0,151.7220515970516,156.41943079443078,157.09130579443078,158.60693079443078,174.1418471027846,175.97674805487304,503.4641687141687
Layer_17,444.51516881094517,436.60000767813267,436.42032017813267,436.27188267813267,436.05313267813267,435.561047553235,154.75440212940214,154.87940212940214,155.25440212940214,155.62940212940214,156.00440212940214,156.12940212940214,156.12940212940214,151.25440212940214,151.12940212940214,150.87940212940214,151.7220515970516,0.0,18.44970823095823,29.21073914823915,33.06293509418509,55.66646191646192,76.85339885339886,526.4637592137592
Layer_18,444.76516881094517,436.85000767813267,436.67032017813267,436.52188267813267,436.30313267813267,435.811047553235,159.45178132678132,159.57678132678132,159.95178132678132,160.32678132678132,160.70178132678132,160.82678132678132,160.82678132678132,155.95178132678132,155.82678132678132,155.57678132678132,156.41943079443078,18.44970823095823,0.0,10.761030917280918,14.613226863226863,55.91646191646192,77.10339885339886,526.7137592137592
Layer_19,443.76516881094517,435.85000767813267,435.67032017813267,435.52188267813267,435.30313267813267,434.811047553235,160.12365632678132,160.24865632678132,160.62365632678132,160.99865632678132,161.37365632678132,161.49865632678132,161.49865632678132,156.62365632678132,156.49865632678132,156.24865632678132,157.09130579443078,29.21073914823915,10.761030917280918,0.0,4.59496090550778,54.91646191646192,76.10339885339886,525.7137592137592
Layer_20,441.76516881094517,433.85000767813267,433.67032017813267,433.52188267813267,433.30313267813267,432.811047553235,161.63928132678132,161.76428132678132,162.13928132678132,162.51428132678132,162.88928132678132,163.01428132678132,163.01428132678132,158.13928132678132,158.01428132678132,157.76428132678132,158.60693079443078,33.06293509418509,14.613226863226863,4.59496090550778,0.0,52.91646191646192,74.10339885339886,523.7137592137592
Layer_21,388.84870689448326,380.93354576167076,380.75385826167076,380.60542076167076,380.38667076167076,379.8945856367731,177.17419763513513,177.29919763513513,177.67419763513513,178.04919763513513,178.42419763513513,178.54919763513513,178.54919763513513,173.67419763513513,173.54919763513513,173.29919763513513,174.1418471027846,55.66646191646192,55.91646191646192,54.91646191646192,52.91646191646192,0.0,21.19638423935299,470.7972972972973
Layer_22,367.6617699575463,359.7466088247338,359.5669213247338,359.4184838247338,359.1997338247338,358.7076486998362,179.00909858722358,179.13409858722358,179.50909858722358,179.88409858722358,180.25909858722358,180.38409858722358,180.38409858722358,175.50909858722358,175.38409858722358,175.13409858722358,175.97674805487304,76.85339885339886,77.10339885339886,76.10339885339886,74.10339885339886,21.19638423935299,0.0,449.61036036036035
Layer_23,255.3481248860277,255.34256562553986,255.3353615900613,255.3053262446573,255.31965755928158,255.29539865904613,481.4641687141687,481.9641687141687,482.4641687141687,482.9641687141687,483.4641687141687,483.7141687141687,483.7141687141687,494.4641687141687,494.7141687141687,494.7141687141687,503.4641687141687,526.4637592137592,526.7137592137592,525.7137592137592,523.7137592137592,470.7972972972973,449.61036036036035,0.0
