Model,Task,Layer,PPL,Ablations
phi-tiny,siqa,3,6.621148594485589,41.8
phi-tiny,siqa,4,5.982521447141683,61.4
phi-tiny,siqa,5,6.031404209398169,58.8
phi-tiny,siqa,6,5.114692329367587,64.0
phi-tiny,siqa,7,3.8656186377613566,63.6
phi-tiny,siqa,8,5.862938175406023,63.0
phi-tiny,siqa,9,5.95938004687402,59.4
phi-tiny,siqa,10,4.7579423307909074,55.2
phi-tiny,siqa,11,3.9891961565504195,63.4
phi-tiny,siqa,12,4.275169467659502,65.2
phi-tiny,siqa,13,4.945183781185005,61.0
phi-tiny,siqa,14,4.432142323263623,58.8
phi-tiny,siqa,15,4.576525125857338,63.6
phi-tiny,siqa,16,5.178137549837761,64.0
phi-tiny,siqa,17,5.290762700525164,65.60000000000001
phi-tiny,siqa,18,4.658716835176956,65.0
phi-tiny,siqa,19,3.6780255095028123,65.2
phi-tiny,siqa,20,0.0,66.8
phi-tiny,siqa,21,4.168286250233569,65.2
phi-tiny,siqa,22,6.362142146635887,63.6
phi-tiny,siqa,23,4.888823053820058,64.2
phi-tiny,siqa,24,5.357550104945818,65.2
phi-tiny,siqa,25,4.873710097070375,65.2
phi-tiny,siqa,26,3.829410034809097,65.8
phi-tiny,siqa,27,5.8084581053814714,66.60000000000001
phi-tiny,siqa,28,5.6947854960737825,66.60000000000001
phi-tiny,siqa,29,6.108947693390184,63.8
phi-tiny,siqa,30,6.2827037362041995,65.2
phi-tiny,siqa,31,6.322352517836273,66.2
qwen,csqa,0,10.742166687367467,0.0
qwen,csqa,1,10.673334246545151,0.6
qwen,csqa,2,1.0170500661973578,60.8
qwen,csqa,3,2.03772688479941,12.7
qwen,csqa,4,1.437267717756063,33.7
qwen,csqa,5,2.047296669106338,57.7
qwen,csqa,6,3.7209269893371637,3.8
qwen,csqa,7,1.278500173862328,64.0
qwen,csqa,8,1.4178542537496128,47.2
qwen,csqa,9,0.6092145677824669,31.1
qwen,csqa,10,0.45778462617996424,29.2
qwen,csqa,11,0.8271608806031696,59.1
qwen,csqa,12,0.536123355710965,9.3
qwen,csqa,13,1.195201121136489,24.2
qwen,csqa,14,0.0,51.2
qwen,csqa,15,1.4944430455026014,69.5
qwen,csqa,16,2.421526386688416,72.4
qwen,csqa,17,1.6285642089929055,58.8
qwen,csqa,18,0.7988909834098218,70.8
qwen,csqa,19,0.8321658161208669,71.9
qwen,csqa,20,0.8747896916684222,66.2
qwen,csqa,21,1.7373509552463433,72.0
qwen,csqa,22,1.5638919305031551,71.8
qwen,csqa,23,3.4740059755118984,69.6
qwen,siqa,0,12.586208980768301,0.0
qwen,siqa,1,8.452613410302657,1.7999999999999998
qwen,siqa,2,2.9222710534973237,52.8
qwen,siqa,3,1.8572842094538666,36.0
qwen,siqa,4,2.3197450920157188,48.0
qwen,siqa,5,3.7637520111865075,60.8
qwen,siqa,6,5.990197368473116,13.4
qwen,siqa,7,2.2340207088862836,60.0
qwen,siqa,8,1.443965042785951,55.60000000000001
qwen,siqa,9,1.028017946566926,46.6
qwen,siqa,10,0.0,63.0
qwen,siqa,11,1.8673345773765315,59.4
qwen,siqa,12,1.9299643325165279,48.2
qwen,siqa,13,3.164348626819875,42.4
qwen,siqa,14,0.8756696042028171,57.6
qwen,siqa,15,3.0420844035038472,62.6
qwen,siqa,16,3.2659389437228925,64.60000000000001
qwen,siqa,17,3.6572114280228867,66.2
qwen,siqa,18,1.9513493905661863,66.0
qwen,siqa,19,1.8863200361218164,67.60000000000001
qwen,siqa,20,1.9300645661336242,65.60000000000001
qwen,siqa,21,2.732363073292008,66.8
qwen,siqa,22,3.2808597070555274,66.0
qwen,siqa,23,5.721568441956218,67.4
